"Defunciones y tasas de mortalidad de la C.A. de Euskadi por 1.000 habitantes por Territorio Histórico. 1975-2025"


;"C.A.de Euskadi";;"Álava";;"Bizkaia";;"Gipuzkoa"
;"Defunciones";"Tasa";"Defunciones";"Tasa";"Defunciones";"Tasa";"Defunciones";"Tasa"
1975;14.699;7,1;1.534;6,5;8.439;7,3;4.726;7,0
1976;14.615;7,0;1.607;6,7;8.288;7,1;4.720;6,9
1977;14.523;6,9;1.584;6,5;8.337;7,1;4.602;6,7
1978;14.235;6,7;1.617;6,5;8.225;7,0;4.393;6,4
1979;14.180;6,7;1.555;6,2;8.417;7,1;4.208;6,1
1980;14.254;6,7;1.537;6,0;8.455;7,1;4.262;6,1
1981;14.628;6,8;1.461;5,6;8.723;7,3;4.444;6,4
1982;13.695;6,4;1.490;5,7;7.986;6,7;4.219;6,1
1983;14.853;6,9;1.513;5,7;8.431;7,1;4.909;7,1
1984;14.809;6,9;1.451;5,5;8.687;7,3;4.671;6,7
1985;15.465;7,2;1.636;6,1;8.850;7,5;4.979;7,2
1986;15.094;7,1;1.539;5,7;8.584;7,3;4.971;7,2
1987;15.014;7,0;1.578;5,8;8.535;7,3;4.901;7,1
1988;15.680;7,4;1.758;6,5;8.634;7,4;5.288;7,7
1989;15.426;7,3;1.730;6,4;8.623;7,4;5.073;7,4
1990;16.404;7,8;1.886;6,9;9.387;8,1;5.131;7,6
1991;16.766;8,0;1.919;7,0;9.320;8,1;5.527;8,2
1992;16.557;7,9;1.828;6,6;9.274;8,0;5.455;8,1
1993;16.799;8,0;1.906;6,9;9.393;8,2;5.500;8,1
1994;16.757;8,0;1.933;6,9;9.301;8,1;5.523;8,2
1995;17.504;8,3;2.048;7,3;9.829;8,6;5.627;8,3
1996;18.031;8,6;2.088;7,4;10.012;8,8;5.931;8,8
1997;17.535;8,4;2.037;7,2;9.764;8,6;5.734;8,5
1998;18.151;8,7;2.104;7,4;10.071;8,9;5.976;8,9
1999;18.396;8,8;2.272;8,0;10.110;9,0;6.014;8,9
2000;18.242;8,8;2.191;7,7;10.214;9,1;5.837;8,7
2001;18.087;8,7;2.219;7,8;10.008;8,9;5.860;8,7
2002;18.619;8,9;2.166;7,5;10.430;9,3;6.023;8,9
2003;19.305;9,2;2.357;8,1;10.684;9,5;6.264;9,2
2004;18.684;8,9;2.275;7,7;10.388;9,3;6.021;8,8
2005;19.425;9,2;2.498;8,3;10.811;9,6;6.116;8,9
2006;18.507;8,7;2.247;7,4;10.361;9,1;5.899;8,6
2007;19.252;9,0;2.414;7,8;10.638;9,3;6.200;9,0
2008;19.437;9,0;2.414;7,7;10.755;9,4;6.268;9,0
2009;19.624;9,1;2.494;7,9;10.865;9,4;6.265;9,0
2010;19.357;8,9;2.430;7,6;10.797;9,4;6.130;8,7
2011;19.832;9,1;2.519;7,9;11.012;9,5;6.301;8,9
2012;20.281;9,3;2.521;7,9;11.246;9,8;6.514;9,2
2013;19.692;9,0;2.579;8,0;10.728;9,3;6.385;9,0
2014;20.157;9,3;2.477;7,7;11.155;9,8;6.525;9,2
2015;21.509;9,9;2.767;8,6;11.810;10,3;6.932;9,8
2016;21.223;9,8;2.688;8,3;11.759;10,3;6.776;9,5
2017;21.632;9,9;2.813;8,7;11.813;10,4;7.006;9,8
2018;21.745;10,0;2.763;8,5;11.950;10,5;7.032;9,8
2019;21.560;9,8;2.737;8,3;11.961;10,5;6.862;9,6
2020;24.247;10,5;3.266;9,9;13.243;11,5;7.738;10,8
2021;23.073;11,0;2.970;9,0;12.486;10,9;7.617;10,6
2022;24.194;10,1;3.170;9,6;13.152;11,5;7.872;11,0
2023;22.311;10,1;2.914;8,7;11.888;10,4;7.509;10,4
2024;22.392;10,1;3.026;9,0;12.041;10,4;7.325;10,1
"2025 (a)";23.214;10,4;3.111;9,2;12.515;10,8;7.588;10,4

"(a) Tasas provisionales"

"Fuente: Eustat. Estadística de Defunciones."

