COD_INE;NOMBRE;PROVINCIA;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ALTITUD;ORIGENALTITUD
1001000101;Alegría-Dulantzi;Araba/Álava;1994.5872;35069;-2.512507724;42.84045247;568;MDT
1002000201;Amurrio;Araba/Álava;9617.86;65701;-3.001015194;43.05265767;217;MDT
1003000601;Aramaio;Araba/Álava;7308.96;42097;-2.564829379;43.05257873;325;MDT
1004000101;Artziniega;Araba/Álava;2728.73;22886;-3.13052099;43.1217919;199;MDT
1006000101;Armiñón;Araba/Álava;1297.27;24707;-2.872270813;42.72340924;466;MDT
1008000501;Arratzua-Ubarrundia;Araba/Álava;5753.18;67180;-2.640208161;42.88990689;514;MDT
1009000401;Asparrena;Araba/Álava;6510.76;53754;-2.317425972;42.88962423;603;MDT
1010002001;Ayala/Aiara;Araba/Álava;14098.25;64488;-3.042683621;43.07792083;311;MDT
1011000101;Baños de Ebro/Mañueta;Araba/Álava;950.39;18666;-2.679560658;42.53023483;428;MDT
1013001401;Barrundia;Araba/Álava;9729.68;57551;-2.496599499;42.91759943;562;MDT
1014000101;Berantevilla;Araba/Álava;3574.75;38696;-2.859369462;42.68269243;470;MDT
1016000301;Bernedo;Araba/Álava;13048.2;85964;-2.498883519;42.62644187;714;MDT
1017000501;Campezo/Kanpezu;Araba/Álava;8536.0875;53461;-2.351267973;42.6700208;567;MDT
1018000901;Zigoitia;Araba/Álava;10201.45;48769;-2.729743759;42.95770957;582;MDT
1019000101;Kripan;Araba/Álava;1256.89;16071;-2.515660773;42.59166499;694;MDT
1020002001;Kuartango;Araba/Álava;8408.7;44209;-2.887492118;42.86990022;553;MDT
1021000401;Elburgo/Burgelu;Araba/Álava;3210.04;58545;-2.545933;42.850282;540;Investigación
1022000101;Elciego;Araba/Álava;1625.58;21854;-2.618158173;42.51517189;458;MDT
1023000101;Elvillar/Bilar;Araba/Álava;1750.2228;21190;-2.54478966;42.5693108;585;MDT
1027000101;Iruraiz-Gauna;Araba/Álava;4712.8628;81139;-2.475996232;42.83131017;627;Investigación
1028000103;Labastida/Bastida;Araba/Álava;3810.73;35903;-2.793199;42.590217;555;Investigación
1030000101;Lagrán;Araba/Álava;4562.02;34064;-2.584350717;42.62612082;753;MDT
1031000202;Laguardia;Araba/Álava;8093.55;84606;-2.585006293;42.5533855;634;MDT
1032000201;Lanciego/Lantziego;Araba/Álava;2425.3;26407;-2.512791745;42.56218527;536;MDT
1033000101;Lapuebla de Labarca;Araba/Álava;605;12528;-2.572925135;42.49365329;430;MDT
1034000101;Leza;Araba/Álava;992.2543;14579;-2.634860283;42.56512037;571;MDT
1036000101;Laudio/Llodio;Araba/Álava;3758.81;27677;-2.962806782;43.14320105;125;MDT
1037001001;Arraia-Maeztu;Araba/Álava;12310.7942;59163;-2.444299;42.738527;649;Investigación
1039000101;Moreda de Álava/Moreda Araba;Araba/Álava;867.1106;12022;-2.408129211;42.5237608;445;MDT
1041000101;Navaridas;Araba/Álava;891.6398;11775;-2.62454944;42.54373653;514;MDT
1042000001;Okondo;Araba/Álava;3009.08;34612;-3.019026823;43.1615513;135;Mapa
1043000301;Oyón-Oion;Araba/Álava;4517.7474;42025;-2.436788;42.506067;435;Investigación
1044000601;Peñacerrada-Urizaharra;Araba/Álava;6215.43;42340;-2.713556409;42.64434353;748;MDT
1046001901;Erriberagoitia/Ribera Alta;Araba/Álava;11982.3;83209;-2.907362586;42.80554817;516;MDT
1047000501;Ribera Baja/Erriberabeitia;Araba/Álava;2531.46;30540;-2.918688966;42.71228518;481;MDT
1049000201;Añana;Araba/Álava;2192.3285;21681;-2.9865226;42.80237115;584;MDT
1051000601;Agurain/Salvatierra;Araba/Álava;3776.9884;37786;-2.389753;42.850452;608;Investigación
1052000101;Samaniego;Araba/Álava;1057.8;16515;-2.679225962;42.56810945;571;MDT
1053001101;San Millán/Donemiliaga;Araba/Álava;8539.21;107247;-2.37748303;42.87257138;587;MDT
1054000701;Urkabustaiz;Araba/Álava;6104.77;38000;-2.900347764;42.95239599;612;MDT
1055003001;Valdegovía/Gaubea;Araba/Álava;23823.44;104568;-3.098138822;42.84824666;553;MDT
1056000101;Harana/Valle de Arana;Araba/Álava;3912.1857;37971;-2.331923488;42.75439749;818;MDT
1057000101;Villabuena de Álava/Eskuernaga;Araba/Álava;847.9289;14014;-2.665446963;42.54890494;480;MDT
1058000601;Legutio;Araba/Álava;4586;37278;-2.642728453;42.97783599;567;MDT
1059006301;Vitoria-Gasteiz;Araba/Álava;27696.48;112028;-2.672340318;42.84682395;526;MDT
1060000101;Yécora/Iekora;Araba/Álava;1880.2483;20919;-2.47025534;42.56924393;692;MDT
1061000101;Zalduondo;Araba/Álava;1188.87;21368;-2.347933788;42.88548624;606;MDT
1062000401;Zambrana;Araba/Álava;3957.05;43901;-2.877876362;42.66100415;460;MDT
1063001101;Zuia;Araba/Álava;12246.02;50714;-2.81995968;42.95630575;616;MDT
1901000201;Iruña Oka/Iruña de Oca;Araba/Álava;5311.28;35133;-2.808334382;42.81803444;487;MDT
1902000401;Lantarón;Araba/Álava;6745.49;63679;-2.96649719;42.71657557;482;MDT
20001000101;Abaltzisketa;Gipuzkoa;1117.859;16155;-2.105565448;43.04782145;370;MDT
20002000101;Aduna;Gipuzkoa;695.1418;15650;-2.050186219;43.20389392;130;MDT
20003000101;Aizarnazabal;Gipuzkoa;654.6339;11752;-2.236536608;43.25565393;58;MDT
20004000101;Albiztur;Gipuzkoa;1301.26;26831;-2.137121106;43.12985312;276;MDT
20005000101;Alegia;Gipuzkoa;768.4321;17557;-2.098267705;43.10026173;96;MDT
20006000101;Alkiza;Gipuzkoa;1192.955;14812;-2.109068155;43.17300613;341;MDT
20007000101;Altzo;Gipuzkoa;977.2981;16094;-2.08347314;43.09982987;215;MDT
20008000101;Amezketa;Gipuzkoa;2057.5505;21177;-2.088261442;43.04884166;182;MDT
20009000101;Andoain;Gipuzkoa;2717.0934;28446;-2.019983382;43.21942466;69;MDT
20010000101;Anoeta;Gipuzkoa;413.1029;10627;-2.071436337;43.16142514;77;MDT
20011000101;Antzuola;Gipuzkoa;2772.7338;23373;-2.381146;43.09868;231.17;Investigación
20012000101;Arama;Gipuzkoa;132.1001;5111;-2.165593292;43.06334607;169;MDT
20013000301;Aretxabaleta;Gipuzkoa;2690.87;29928;-2.504467133;43.03645677;239;MDT
20014000101;Asteasu;Gipuzkoa;1675.8952;23505;-2.09703;43.19336;100;Investigación
20015000300;Ataun;Gipuzkoa;5887.06;43156;-2.17670505;43.00704134;197;Investigación
20016000301;Aia;Gipuzkoa;5526.6787;51664;-2.148064432;43.23641794;302;MDT
20017000201;Azkoitia;Gipuzkoa;5471.2548;34834;-2.312448182;43.17765564;114;MDT
20018000101;Azpeitia;Gipuzkoa;6938.8776;45106;-2.266048114;43.18405309;82;MDT
20019000401;Beasain;Gipuzkoa;2999.125;27645;-2.196047171;43.04729251;152;MDT
20020000101;Beizama;Gipuzkoa;1655.1561;17740;-2.200201532;43.13410158;488;MDT
20021000101;Belauntza;Gipuzkoa;343.03;9967;-2.051200397;43.13479219;201;MDT
20022000101;Berastegi;Gipuzkoa;4590.1663;48232;-1.979383703;43.12404366;406;MDT
20023000101;Berrobi;Gipuzkoa;277.1774;8217;-2.026324848;43.14532524;157;MDT
20024000201;Bidania-Goiatz;Gipuzkoa;1337.4189;23725;-2.159960416;43.13959196;488;MDT
20025000301;Zegama;Gipuzkoa;3507.4087;23474;-2.290043573;42.9756135;297;MDT
20026000101;Zerain;Gipuzkoa;1036.7094;14753;-2.271478995;43.01196603;307;MDT
20027000401;Zestoa;Gipuzkoa;4369.0458;44149;-2.258746643;43.23995703;70;MDT
20028000101;Zizurkil;Gipuzkoa;1561.1753;25745;-2.073789451;43.19800171;115;MDT
20029000101;Deba;Gipuzkoa;5032.2469;36049;-2.354368981;43.29419262;5;MDT
20030000301;Eibar;Gipuzkoa;2477.5979;22103;-2.473421137;43.18454025;119;MDT
20031000101;Elduain;Gipuzkoa;2506.5164;31845;-2.00012745;43.1408339;259;MDT
20032000201;Elgoibar;Gipuzkoa;3911.338;28024;-2.417155567;43.21431234;43;MDT
20033000101;Elgeta;Gipuzkoa;1683.1875;17530;-2.487368193;43.13693084;466;MDT
20034000301;Eskoriatza;Gipuzkoa;4024.65;34285;-2.526687122;43.01724029;283;MDT
20035000601;Ezkio-Itsaso;Gipuzkoa;2122.1797;22181;-2.285543775;43.0692074;240;Enestudio
20036000401;Hondarribia;Gipuzkoa;2980.34;32318;-1.791531525;43.36242082;14;MDT
20037000100;Gaintza;Gipuzkoa;595.9222;10288;-2.13323065;43.0535012;444;Investigación
20038000301;Gabiria;Gipuzkoa;1487.5424;16987;-2.280071394;43.0496357;418;MDT
20039000301;Getaria;Gipuzkoa;1062.6225;17798;-2.20441063;43.3031981;27;MDT
20040000502;Hernani;Gipuzkoa;3980.8211;45778;-1.975939165;43.26507469;39;MDT
20041000101;Hernialde;Gipuzkoa;417.0257;10003;-2.084795697;43.15477621;288;MDT
20042000101;Ibarra;Gipuzkoa;504.39;17855;-2.062338214;43.13139992;86;MDT
20043000101;Idiazabal;Gipuzkoa;2946.7522;28392;-2.233934898;43.01296826;211;MDT
20044000201;Ikaztegieta;Gipuzkoa;200.1612;7540;-2.124004281;43.09542849;112;MDT
20045000201;Irun;Gipuzkoa;4177.42;30538;-1.788803185;43.33771112;15;MDT
20046000101;Irura;Gipuzkoa;298.9889;7584;-2.067534079;43.16748404;73;MDT
20047000201;Itsasondo;Gipuzkoa;893.9279;14767;-2.165326453;43.06746739;132;MDT
