CODINSCRIP;CODPROV;NOMBREPROV;CODAUTON;NOMBREAUTON;DENOMINACION;CODINE;INEMUNICIPIO;LATITUD_ETRS89_REGCAN95;LONGITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD
4010001;01;Araba/Álava;16;País Vasco/Euskadi;Adana;01053000100;01053;42,82253382;-2,47464991;Detección automática;620;MDT
4010002;01;Araba/Álava;16;País Vasco/Euskadi;Agiñaga;01010000100;01010;43,03464399;-3,07063415;Mapa;383;MDT
4010003;01;Araba/Álava;16;País Vasco/Euskadi;Alegría-Dulantzi;01001000100;01001;42,83981158;-2,51243731;Investigación;568;Investigación
4010004;01;Araba/Álava;16;País Vasco/Euskadi;Antezana de la Ribera;01046000100;01046;42,77115579;-2,876100362;Coordinado_IGR Poblaciones;580;MDT
4010005;01;Araba/Álava;16;País Vasco/Euskadi;Anuntzeta/Anúcita;01046000200;01046;42,80157241;-2,898298514;Coordinado_IGR Poblaciones;583;MDT
4010006;01;Araba/Álava;16;País Vasco/Euskadi;Añes;01010000200;01010;43,05819114;-3,13289708;Mapa;429;MDT
4010007;01;Araba/Álava;16;País Vasco/Euskadi;Añua;01021000100;01021;42,83314575;-2,538246492;Coordinado_IGR Poblaciones;560;MDT
4010008;01;Araba/Álava;16;País Vasco/Euskadi;Apodaka;01018000200;01018;42,91741648;-2,729836599;Coordinado_IGR Poblaciones;544;MDT
4010009;01;Araba/Álava;16;País Vasco/Euskadi;Arbulu;01021000200;01021;42,87508068;-2,566902777;Coordinado_IGR Poblaciones;533;MDT
4010010;01;Araba/Álava;16;País Vasco/Euskadi;Argandoña;01059001100;01059;42,83914462;-2,583435847;Coordinado_IGR Poblaciones;544;MDT
4010011;01;Araba/Álava;16;País Vasco/Euskadi;Armentia;01059001300;01059;42,83236072;-2,69965207;Coordinado_IGR Poblaciones;557;MDT
4010013;01;Araba/Álava;16;País Vasco/Euskadi;Arreo;01046000400;01046;42,78455905;-2,969322263;Coordinado_IGR Poblaciones;762;MDT
4010014;01;Araba/Álava;16;País Vasco/Euskadi;Arrieta;01027000300;01027;42,85882944;-2,475007308;Coordinado_IGR Poblaciones;573;MDT
4010015;01;Araba/Álava;16;País Vasco/Euskadi;Askartza;01059001600;01059;42,84214505;-2,612434772;Coordinado_IGR Poblaciones;533;MDT
4010016;01;Araba/Álava;16;País Vasco/Euskadi;Axpuru;01053000200;01053;42,91087054;-2,447953008;Coordinado_IGR Poblaciones;577;MDT
4010017;01;Araba/Álava;16;País Vasco/Euskadi;Audikana;01013000100;01013;42,8827072;-2,485599378;Coordinado_IGR Poblaciones;554;MDT
4010018;01;Araba/Álava;16;País Vasco/Euskadi;Bachicabo;01055000300;01055;42,78931946;-3,071319619;Coordinado_IGR Poblaciones;647;MDT
4010019;01;Araba/Álava;16;País Vasco/Euskadi;Basquiñuelas;01046000700;01046;42,81248923;-2,961059451;Coordinado_IGR Poblaciones;676;MDT
4010020;01;Araba/Álava;16;País Vasco/Euskadi;Bergonda/Bergüenda;01902000200;01902;42,77830107;-3,045398449;Coordinado_IGR Poblaciones;485;MDT
4010021;01;Araba/Álava;16;País Vasco/Euskadi;Bernedo;01016000300;01016;42,62644187;-2,498883519;Detección automática;714;MDT
4010022;01;Araba/Álava;16;País Vasco/Euskadi;Zerio;01059002200;01059;42,85298546;-2,590371911;Coordinado_IGR Poblaciones;536;MDT
4010023;01;Araba/Álava;16;País Vasco/Euskadi;Txintxetru;01053000300;01053;42,83528311;-2,455417982;Coordinado_IGR Poblaciones;601;MDT
4010024;01;Araba/Álava;16;País Vasco/Euskadi;Real Valle de Laminoria/Laminoriako Erret Harana;01037010300;01037;42,75347404;-2,4391867;Detección automática;680;MDT
4010025;01;Araba/Álava;16;País Vasco/Euskadi;Ziriano;01008000400;01008;42,9296071;-2,67540003;Mapa;564;MDT
4010026;01;Araba/Álava;16;País Vasco/Euskadi;Comunión/Komunioi;01902000400;01902;42,71657557;-2,96649719;Mapa;482;MDT
