CODIGOINE;NOMBRE;COD_PROV;PROVINCIA;TIPO;POBLACION;INEMUNI;HOJA_MTN25;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD;SUPRIMIDA_INE;DISCREPANTE_INE
01001000000;Alegría-Dulantzi;01;Araba/Álava;Municipio;2961;01001;0113-3;-2,512507724;42,84045247;Detección automática;568;MDT;FALSO;FALSO
01001000100;Alegría-Dulantzi;01;Araba/Álava;Entidad singular;2842;01001;0113-3;-2,51243731;42,83981158;Investigación;568;Investigación;FALSO;FALSO
01001000101;Alegría-Dulantzi;01;Araba/Álava;Capital de municipio;2842;01001;0113-3;-2,512507724;42,84045247;Detección automática;568;MDT;FALSO;FALSO
01001000199;Alegría-Dulantzi;01;Araba/Álava;Diseminado;0;01001;0113-3;-2,51243731;42,83981158;Investigación;568;Investigación;FALSO;FALSO
01001000200;Egileta;01;Araba/Álava;Entidad singular;119;01001;0138-2;-2,535543764;42,8101189;Coordinado_IGR Poblaciones;629;MDT;FALSO;FALSO
01001000201;Egileta;01;Araba/Álava;Otras entidades;119;01001;0138-2;-2,535543764;42,8101189;Coordinado_IGR Poblaciones;629;MDT;FALSO;FALSO
01002000000;Amurrio;01;Araba/Álava;Municipio;10346;01002;0086-4;-3,001015194;43,05265767;Detección automática;217;MDT;FALSO;FALSO
01002000100;Aloria;01;Araba/Álava;Entidad singular;24;01002;0111-2;-2,982035886;42,99633625;Coordinado_IGR Poblaciones;382;MDT;FALSO;FALSO
01002000101;Aloria;01;Araba/Álava;Otras entidades;24;01002;0111-2;-2,982035886;42,99633625;Coordinado_IGR Poblaciones;382;MDT;FALSO;FALSO
01002000200;Amurrio;01;Araba/Álava;Entidad singular;9256;01002;0086-4;-3,001015194;43,05265767;Detección automática;217;MDT;FALSO;FALSO
01002000201;Amurrio;01;Araba/Álava;Capital de municipio;9256;01002;0086-4;-3,001015194;43,05265767;Detección automática;217;MDT;FALSO;FALSO
01002000300;Artomaña;01;Araba/Álava;Entidad singular;63;01002;0111-2;-2,98190796;42,98363568;Coordinado_IGR Poblaciones;330;MDT;FALSO;FALSO
01002000301;Artomaña;01;Araba/Álava;Otras entidades;63;01002;0111-2;-2,98190796;42,98363568;Coordinado_IGR Poblaciones;330;MDT;FALSO;FALSO
01002000500;Baranbio;01;Araba/Álava;Entidad singular;137;01002;0086-4;-2,920819517;43,04848035;Coordinado_IGR Poblaciones;269;MDT;FALSO;FALSO
01002000501;Baranbio;01;Araba/Álava;Otras entidades;73;01002;0086-4;-2,920819517;43,04848035;Coordinado_IGR Poblaciones;269;MDT;FALSO;FALSO
01002000599;Baranbio;01;Araba/Álava;Diseminado;64;01002;0086-4;-2,920819517;43,04848035;Coordinado_IGR Poblaciones;269;MDT;FALSO;FALSO
01002000600;Delika;01;Araba/Álava;Entidad singular;154;01002;0111-2;-2,990098275;42,97101677;Coordinado_IGR Poblaciones;316;MDT;FALSO;FALSO
01002000601;Delika;01;Araba/Álava;Otras entidades;124;01002;0111-2;-2,990098275;42,97101677;Coordinado_IGR Poblaciones;316;MDT;FALSO;FALSO
01002000699;Delika;01;Araba/Álava;Diseminado;30;01002;0111-2;-2,990098275;42,97101677;Coordinado_IGR Poblaciones;316;MDT;FALSO;FALSO
01002000700;Larrinbe;01;Araba/Álava;Entidad singular;252;01002;0086-4;-2,982010581;43,04400047;Coordinado_IGR Poblaciones;291;MDT;FALSO;FALSO
01002000701;Larrinbe;01;Araba/Álava;Otras entidades;85;01002;0086-4;-2,982010581;43,04400047;Coordinado_IGR Poblaciones;291;MDT;FALSO;FALSO
01002000799;Larrinbe;01;Araba/Álava;Diseminado;167;01002;0086-4;-2,982010581;43,04400047;Coordinado_IGR Poblaciones;291;MDT;FALSO;FALSO
01002000800;Lekamaña;01;Araba/Álava;Entidad singular;45;01002;0086-4;-2,996148832;43,02149019;Coordinado_IGR Poblaciones;419;MDT;FALSO;FALSO
01002000801;Lekamaña;01;Araba/Álava;Otras entidades;43;01002;0086-4;-2,996148832;43,02149019;Coordinado_IGR Poblaciones;419;MDT;FALSO;FALSO
01002000899;Lekamaña;01;Araba/Álava;Diseminado;2;01002;0086-4;-2,996148832;43,02149019;Coordinado_IGR Poblaciones;419;MDT;FALSO;FALSO
01002000900;Lezama;01;Araba/Álava;Entidad singular;246;01002;0086-4;-2,97184278;43,02860994;Mapa;350;MDT;FALSO;FALSO
01002000999;Lezama;01;Araba/Álava;Diseminado;246;01002;0086-4;-2,97184278;43,02860994;Mapa;350;MDT;FALSO;FALSO
01002001100;Saratxo;01;Araba/Álava;Entidad singular;90;01002;0086-4;-3,010798201;43,02410122;Coordinado_IGR Poblaciones;256;MDT;FALSO;FALSO
01002001101;Saratxo;01;Araba/Álava;Otras entidades;20;01002;0086-4;-3,010798201;43,02410122;Coordinado_IGR Poblaciones;256;MDT;FALSO;FALSO
01002001199;Saratxo;01;Araba/Álava;Diseminado;70;01002;0086-4;-3,010798201;43,02410122;Coordinado_IGR Poblaciones;256;MDT;FALSO;FALSO
01002001200;Tertanga;01;Araba/Álava;Entidad singular;79;01002;0111-1;-3,022813917;42,97818461;Coordinado_IGR Poblaciones;342;MDT;FALSO;FALSO
01002001201;Tertanga;01;Araba/Álava;Otras entidades;33;01002;0111-1;-3,022813917;42,97818461;Coordinado_IGR Poblaciones;342;MDT;FALSO;FALSO
01002001299;Tertanga;01;Araba/Álava;Diseminado;46;01002;0111-1;-3,022813917;42,97818461;Coordinado_IGR Poblaciones;342;MDT;FALSO;FALSO
01003000000;Aramaio;01;Araba/Álava;Municipio;1353;01003;0087-4;-2,564829379;43,05257873;Detección automática;325;MDT;FALSO;FALSO
01003000100;Arexola;01;Araba/Álava;Entidad singular;52;01003;0087-4;-2,58079786;43,04405018;Mapa;482;MDT;FALSO;FALSO
01003000199;Arexola;01;Araba/Álava;Diseminado;52;01003;0087-4;-2,58079786;43,04405018;Mapa;482;MDT;FALSO;FALSO
01003000200;Azkoaga;01;Araba/Álava;Entidad singular;145;01003;0087-4;-2,55806731;43,04133483;Mapa;459;MDT;FALSO;FALSO
01003000299;Azkoaga;01;Araba/Álava;Diseminado;145;01003;0087-4;-2,55806731;43,04133483;Mapa;459;MDT;FALSO;FALSO
01003000300;Barajuen;01;Araba/Álava;Entidad singular;71;01003;0087-4;-2,55805273;43,04846676;Mapa;489;MDT;FALSO;FALSO
01003000399;Barajuen;01;Araba/Álava;Diseminado;71;01003;0087-4;-2,55805273;43,04846676;Mapa;489;MDT;FALSO;FALSO
01003000400;Etxaguen;01;Araba/Álava;Entidad singular;12;01003;0087-4;-2,5897319;43,05748218;Mapa;626;MDT;FALSO;FALSO
01003000499;Etxaguen;01;Araba/Álava;Diseminado;12;01003;0087-4;-2,5897319;43,05748218;Mapa;626;MDT;FALSO;FALSO
01003000500;Gantzaga;01;Araba/Álava;Entidad singular;22;01003;0087-4;-2,58495646;43,0645068;Mapa;494;MDT;FALSO;FALSO
01003000599;Gantzaga;01;Araba/Álava;Diseminado;22;01003;0087-4;-2,58495646;43,0645068;Mapa;494;MDT;FALSO;FALSO
01003000600;Ibarra;01;Araba/Álava;Entidad singular;809;01003;0087-4;-2,564829379;43,05257873;Detección automática;325;MDT;FALSO;FALSO
01003000601;Ibarra;01;Araba/Álava;Capital de municipio;731;01003;0087-4;-2,564829379;43,05257873;Detección automática;325;MDT;FALSO;FALSO
01003000699;Ibarra;01;Araba/Álava;Diseminado;78;01003;0087-4;-2,564829379;43,05257873;Detección automática;325;MDT;FALSO;FALSO
01003000700;Oleta;01;Araba/Álava;Entidad singular;103;01003;0087-4;-2,630922609;43,04832859;Coordinado_IGR Poblaciones;574;MDT;FALSO;FALSO
01003000701;Oleta;01;Araba/Álava;Otras entidades;103;01003;0087-4;-2,630922609;43,04832859;Coordinado_IGR Poblaciones;574;MDT;FALSO;FALSO
01003000799;Oleta;01;Araba/Álava;Diseminado;0;01003;0087-4;-2,630922609;43,04832859;Coordinado_IGR Poblaciones;574;MDT;FALSO;FALSO
01003000800;Untzilla;01;Araba/Álava;Entidad singular;61;01003;0087-4;-2,53969325;43,04073982;Mapa;494;MDT;FALSO;FALSO
01003000899;Untzilla;01;Araba/Álava;Diseminado;61;01003;0087-4;-2,53969325;43,04073982;Mapa;494;MDT;FALSO;FALSO
01003000900;Uribarri;01;Araba/Álava;Entidad singular;78;01003;0087-4;-2,57591814;43,0395296;Mapa;442;MDT;FALSO;FALSO
01003000999;Uribarri;01;Araba/Álava;Diseminado;78;01003;0087-4;-2,57591814;43,0395296;Mapa;442;MDT;FALSO;FALSO
01004000000;Artziniega;01;Araba/Álava;Municipio;1868;01004;0086-1;-3,13052099;43,1217919;Detección automática;199;MDT;FALSO;FALSO
01004000100;Artziniega;01;Araba/Álava;Entidad singular;1732;01004;0086-1;-3,13052099;43,1217919;Detección automática;199;MDT;FALSO;FALSO
01004000101;Artziniega;01;Araba/Álava;Capital de municipio;1732;01004;0086-1;-3,13052099;43,1217919;Detección automática;199;MDT;FALSO;FALSO
01004000200;Campijo;01;Araba/Álava;Entidad singular;12;01004;0086-1;-3,15922328;43,14808916;Mapa;240;MDT;FALSO;FALSO
01004000299;Campijo;01;Araba/Álava;Diseminado;12;01004;0086-1;-3,15922328;43,14808916;Mapa;240;MDT;FALSO;FALSO
01004000300;Gordeliz;01;Araba/Álava;Entidad singular;35;01004;0086-1;-3,15925401;43,11224999;Mapa;265;MDT;FALSO;FALSO
01004000399;Gordeliz;01;Araba/Álava;Diseminado;35;01004;0086-1;-3,15925401;43,11224999;Mapa;265;MDT;FALSO;FALSO
