Valor;Atributo
"Homicidio y sus formas";"Motivo Nivel 1"
"Homicidio doloso/ asesinato consumado";"Motivo Nivel 2"
"Homicidio doloso/ asesinato tentativa";"Motivo Nivel 2"
"Otras infracciones de homicidio y sus formas";"Motivo Nivel 2"
"Lesiones";"Motivo Nivel 1"
"Malos tratos en el ámbito familiar";"Motivo Nivel 2"
"Otras infracciones de lesiones";"Motivo Nivel 2"
"Tortura y contra la integridad";"Motivo Nivel 1"
"Malos tratos habituales en el ámbito familiar";"Motivo Nivel 2"
"Otras infracciones de tortura y contra la integridad";"Motivo Nivel 2"
"Contra la libertad sexual";"Motivo Nivel 1"
"Agresión sexual";"Motivo Nivel 2"
"Otras infracciones contra la libertad sexual";"Motivo Nivel 2"
"Contra el patrimonio y el orden socioeconómico";"Motivo Nivel 1"
"Hurto";"Motivo Nivel 2"
"Robo con fuerza en las cosas";"Motivo Nivel 2"
"Robo con fuerza en las cosas en vivienda";"Motivo Nivel 3"
"Robo con fuerza en las cosas en domicilio";"Motivo Nivel 4"
"Robo con fuerza en otras dependencias/anexos vivienda";"Motivo Nivel 4"
"Robo con fuerza en empresas";"Motivo Nivel 3"
"Robo con fuerza en comercios y otros esp.cerrados";"Motivo Nivel 3"
"Robo con fuerza en las cosas en otros lugares";"Motivo Nivel 3"
"Robo con violencia o intimidación";"Motivo Nivel 2"
"Daños";"Motivo Nivel 2"
"Sustracción de vehículos a motor";"Motivo Nivel 2"
"Estafa";"Motivo Nivel 2"
"Otras infracciones contra el patrimonio";"Motivo Nivel 2"
"Contra la seguridad colectiva";"Motivo Nivel 1"
"Salud pública: Tráfico de drogas";"Motivo Nivel 2"
"Conducir bajo la influencia de alcohol, drogas, etc.";"Motivo Nivel 2"
"Otras infracciones contra la seguridad colectiva";"Motivo Nivel 2"
"Otras infracciones penales";"Motivo Nivel 1"
"Total de Infracciones Penales";"Motivo Nivel 1"
"Requisitorias judiciales";"Motivo Nivel 1"
"Total";"Motivo Nivel 1"
