Ámbito Territorial;Nivel Territorial;Tipo Territorio;TH Madre;INE-5;Orden Territorio Mostrar
"Abadiño";"4";"Municipio";"Bizkaia";"48001";"6"
"Abanto y Ciérvana-Abanto Zierbena";"4";"Municipio";"Bizkaia";"48002";"6"
"Ajangiz";"4";"Municipio";"Bizkaia";"48911";"6"
"Alonsotegi";"4";"Municipio";"Bizkaia";"48912";"6"
"Amorebieta-Etxano";"4";"Municipio";"Bizkaia";"48003";"6"
"Amoroto";"4";"Municipio";"Bizkaia";"48004";"6"
"Arakaldo";"4";"Municipio";"Bizkaia";"48005";"6"
"Arantzazu";"4";"Municipio";"Bizkaia";"48006";"6"
"Areatza";"4";"Municipio";"Bizkaia";"48093";"6"
"Arrankudiaga-Zollo";"4";"Municipio";"Bizkaia";"48009";"6"
"Arratzu";"4";"Municipio";"Bizkaia";"48914";"6"
"Arrieta";"4";"Municipio";"Bizkaia";"48010";"6"
"Arrigorriaga";"4";"Municipio";"Bizkaia";"48011";"6"
"Artea";"4";"Municipio";"Bizkaia";"48023";"6"
"Artzentales";"4";"Municipio";"Bizkaia";"48008";"6"
"Atxondo";"4";"Municipio";"Bizkaia";"48091";"6"
"Aulesti";"4";"Municipio";"Bizkaia";"48070";"6"
"Bakio";"4";"Municipio";"Bizkaia";"48012";"6"
"Balmaseda";"4";"Municipio";"Bizkaia";"48090";"6"
"Barakaldo";"4";"Municipio";"Bizkaia";"48013";"6"
"Barrika";"4";"Municipio";"Bizkaia";"48014";"6"
"Basauri";"4";"Municipio";"Bizkaia";"48015";"6"
"Bedia";"4";"Municipio";"Bizkaia";"48092";"6"
"Berango";"4";"Municipio";"Bizkaia";"48016";"6"
"Bermeo";"4";"Municipio";"Bizkaia";"48017";"6"
"Berriatua";"4";"Municipio";"Bizkaia";"48018";"6"
"Berriz";"4";"Municipio";"Bizkaia";"48019";"6"
"Bilbao";"4";"Municipio";"Bizkaia";"48020";"6"
"Busturia";"4";"Municipio";"Bizkaia";"48021";"6"
"Derio";"4";"Municipio";"Bizkaia";"48901";"6"
"Dima";"4";"Municipio";"Bizkaia";"48026";"6"
"Durango";"4";"Municipio";"Bizkaia";"48027";"6"
"Ea";"4";"Municipio";"Bizkaia";"48028";"6"
"Elantxobe";"4";"Municipio";"Bizkaia";"48031";"6"
"Elorrio";"4";"Municipio";"Bizkaia";"48032";"6"
"Erandio";"4";"Municipio";"Bizkaia";"48902";"6"
"Ereño";"4";"Municipio";"Bizkaia";"48033";"6"
"Ermua";"4";"Municipio";"Bizkaia";"48034";"6"
"Errigoiti";"4";"Municipio";"Bizkaia";"48079";"6"
"Etxebarri";"4";"Municipio";"Bizkaia";"48029";"6"
"Etxebarria";"4";"Municipio";"Bizkaia";"48030";"6"
"Forua";"4";"Municipio";"Bizkaia";"48906";"6"
"Fruiz";"4";"Municipio";"Bizkaia";"48035";"6"
"Galdakao";"4";"Municipio";"Bizkaia";"48036";"6"
"Galdames";"4";"Municipio";"Bizkaia";"48037";"6"
"Gamiz-Fika";"4";"Municipio";"Bizkaia";"48038";"6"
"Garai";"4";"Municipio";"Bizkaia";"48039";"6"
"Gatika";"4";"Municipio";"Bizkaia";"48040";"6"
"Gautegiz Arteaga";"4";"Municipio";"Bizkaia";"48041";"6"
"Gernika-Lumo";"4";"Municipio";"Bizkaia";"48046";"6"
"Getxo";"4";"Municipio";"Bizkaia";"48044";"6"
"Gizaburuaga";"4";"Municipio";"Bizkaia";"48047";"6"
"Gordexola";"4";"Municipio";"Bizkaia";"48042";"6"
"Gorliz";"4";"Municipio";"Bizkaia";"48043";"6"
"Güeñes";"4";"Municipio";"Bizkaia";"48045";"6"
"Ibarrangelu";"4";"Municipio";"Bizkaia";"48048";"6"
"Igorre";"4";"Municipio";"Bizkaia";"48094";"6"
"Ispaster";"4";"Municipio";"Bizkaia";"48049";"6"
"Iurreta";"4";"Municipio";"Bizkaia";"48910";"6"
"Izurtza";"4";"Municipio";"Bizkaia";"48050";"6"
"Karrantza Harana/Valle de Carranza";"4";"Municipio";"Bizkaia";"48022";"6"
"Kortezubi";"4";"Municipio";"Bizkaia";"48907";"6"
"Lanestosa";"4";"Municipio";"Bizkaia";"48051";"6"
"Larrabetzu";"4";"Municipio";"Bizkaia";"48052";"6"
"Laukiz";"4";"Municipio";"Bizkaia";"48053";"6"
"Leioa";"4";"Municipio";"Bizkaia";"48054";"6"
"Lekeitio";"4";"Municipio";"Bizkaia";"48057";"6"
"Lemoa";"4";"Municipio";"Bizkaia";"48055";"6"
"Lemoiz";"4";"Municipio";"Bizkaia";"48056";"6"
"Lezama";"4";"Municipio";"Bizkaia";"48081";"6"
"Loiu";"4";"Municipio";"Bizkaia";"48903";"6"
"Mallabia";"4";"Municipio";"Bizkaia";"48058";"6"
"Mañaria";"4";"Municipio";"Bizkaia";"48059";"6"
"Markina-Xemein";"4";"Municipio";"Bizkaia";"48060";"6"
"Maruri-Jatabe";"4";"Municipio";"Bizkaia";"48061";"6"
"Mendata";"4";"Municipio";"Bizkaia";"48062";"6"
"Mendexa";"4";"Municipio";"Bizkaia";"48063";"6"
"Meñaka";"4";"Municipio";"Bizkaia";"48064";"6"
"Morga";"4";"Municipio";"Bizkaia";"48066";"6"
"Mundaka";"4";"Municipio";"Bizkaia";"48068";"6"
"Mungia";"4";"Municipio";"Bizkaia";"48069";"6"
"Munitibar-Arbatzegi Gerrikaitz";"4";"Municipio";"Bizkaia";"48007";"6"
"Murueta";"4";"Municipio";"Bizkaia";"48908";"6"
"Muskiz";"4";"Municipio";"Bizkaia";"48071";"6"
"Muxika";"4";"Municipio";"Bizkaia";"48067";"6"
"Nabarniz";"4";"Municipio";"Bizkaia";"48909";"6"
"Orozko";"4";"Municipio";"Bizkaia";"48075";"6"
"Ortuella";"4";"Municipio";"Bizkaia";"48083";"6"
"Otxandio";"4";"Municipio";"Bizkaia";"48072";"6"
"Plentzia";"4";"Municipio";"Bizkaia";"48077";"6"
"Portugalete";"4";"Municipio";"Bizkaia";"48078";"6"
"Santurtzi";"4";"Municipio";"Bizkaia";"48082";"6"
"Sestao";"4";"Municipio";"Bizkaia";"48084";"6"
"Sondika";"4";"Municipio";"Bizkaia";"48904";"6"
"Sopela";"4";"Municipio";"Bizkaia";"48085";"6"
"Sopuerta";"4";"Municipio";"Bizkaia";"48086";"6"
"Sukarrieta";"4";"Municipio";"Bizkaia";"48076";"6"
"Trucios-Turtzioz";"4";"Municipio";"Bizkaia";"48087";"6"
"Ubide";"4";"Municipio";"Bizkaia";"48088";"6"
"Ugao-Miraballes";"4";"Municipio";"Bizkaia";"48065";"6"
"Urduliz";"4";"Municipio";"Bizkaia";"48089";"6"
"Usansolo";"4";"Municipio";"Bizkaia";"48916";"6"
"Valle de Trápaga-Trapagaran";"4";"Municipio";"Bizkaia";"48080";"6"
"Zaldibar";"4";"Municipio";"Bizkaia";"48095";"6"
"Zalla";"4";"Municipio";"Bizkaia";"48096";"6"
"Zamudio";"4";"Municipio";"Bizkaia";"48905";"6"
"Zaratamo";"4";"Municipio";"Bizkaia";"48097";"6"
"Zeanuri";"4";"Municipio";"Bizkaia";"48024";"6"
"Zeberio";"4";"Municipio";"Bizkaia";"48025";"6"
"Zierbena";"4";"Municipio";"Bizkaia";"48913";"6"
"Ziortza-Bolibar";"4";"Municipio";"Bizkaia";"48915";"6"
"Abaltzisketa";"4";"Municipio";"Gipuzkoa";"20001";"6"
"Aduna";"4";"Municipio";"Gipuzkoa";"20002";"6"
"Aia";"4";"Municipio";"Gipuzkoa";"20016";"6"
"Aizarnazabal";"4";"Municipio";"Gipuzkoa";"20003";"6"
"Albiztur";"4";"Municipio";"Gipuzkoa";"20004";"6"
"Alegia";"4";"Municipio";"Gipuzkoa";"20005";"6"
"Alkiza";"4";"Municipio";"Gipuzkoa";"20006";"6"
"Altzaga";"4";"Municipio";"Gipuzkoa";"20906";"6"
"Altzo";"4";"Municipio";"Gipuzkoa";"20007";"6"
"Amezketa";"4";"Municipio";"Gipuzkoa";"20008";"6"
"Andoain";"4";"Municipio";"Gipuzkoa";"20009";"6"
"Anoeta";"4";"Municipio";"Gipuzkoa";"20010";"6"
"Antzuola";"4";"Municipio";"Gipuzkoa";"20011";"6"
"Arama";"4";"Municipio";"Gipuzkoa";"20012";"6"
"Aretxabaleta";"4";"Municipio";"Gipuzkoa";"20013";"6"
"Arrasate/Mondragón";"4";"Municipio";"Gipuzkoa";"20055";"6"
"Asteasu";"4";"Municipio";"Gipuzkoa";"20014";"6"
"Astigarraga";"4";"Municipio";"Gipuzkoa";"20903";"6"
"Ataun";"4";"Municipio";"Gipuzkoa";"20015";"6"
"Azkoitia";"4";"Municipio";"Gipuzkoa";"20017";"6"
"Azpeitia";"4";"Municipio";"Gipuzkoa";"20018";"6"
"Baliarrain";"4";"Municipio";"Gipuzkoa";"20904";"6"
"Beasain";"4";"Municipio";"Gipuzkoa";"20019";"6"
"Beizama";"4";"Municipio";"Gipuzkoa";"20020";"6"
"Belauntza";"4";"Municipio";"Gipuzkoa";"20021";"6"
"Berastegi";"4";"Municipio";"Gipuzkoa";"20022";"6"
"Bergara";"4";"Municipio";"Gipuzkoa";"20074";"6"
"Berrobi";"4";"Municipio";"Gipuzkoa";"20023";"6"
"Bidania-Goiatz";"4";"Municipio";"Gipuzkoa";"20024";"6"
"Deba";"4";"Municipio";"Gipuzkoa";"20029";"6"
"Donostia / San Sebastián";"4";"Municipio";"Gipuzkoa";"20069";"6"
"Eibar";"4";"Municipio";"Gipuzkoa";"20030";"6"
"Elduain";"4";"Municipio";"Gipuzkoa";"20031";"6"
"Elgeta";"4";"Municipio";"Gipuzkoa";"20033";"6"
"Elgoibar";"4";"Municipio";"Gipuzkoa";"20032";"6"
"Errenteria";"4";"Municipio";"Gipuzkoa";"20067";"6"
"Errezil";"4";"Municipio";"Gipuzkoa";"20066";"6"
"Eskoriatza";"4";"Municipio";"Gipuzkoa";"20034";"6"
"Ezkio-Itsaso";"4";"Municipio";"Gipuzkoa";"20035";"6"
"Gabiria";"4";"Municipio";"Gipuzkoa";"20038";"6"
"Gaintza";"4";"Municipio";"Gipuzkoa";"20037";"6"
"Gaztelu";"4";"Municipio";"Gipuzkoa";"20907";"6"
"Getaria";"4";"Municipio";"Gipuzkoa";"20039";"6"
"Hernani";"4";"Municipio";"Gipuzkoa";"20040";"6"
"Hernialde";"4";"Municipio";"Gipuzkoa";"20041";"6"
"Hondarribia";"4";"Municipio";"Gipuzkoa";"20036";"6"
"Ibarra";"4";"Municipio";"Gipuzkoa";"20042";"6"
"Idiazabal";"4";"Municipio";"Gipuzkoa";"20043";"6"
"Ikaztegieta";"4";"Municipio";"Gipuzkoa";"20044";"6"
"Irun";"4";"Municipio";"Gipuzkoa";"20045";"6"
"Irura";"4";"Municipio";"Gipuzkoa";"20046";"6"
"Itsasondo";"4";"Municipio";"Gipuzkoa";"20047";"6"
"Larraul";"4";"Municipio";"Gipuzkoa";"20048";"6"
"Lasarte-Oria";"4";"Municipio";"Gipuzkoa";"20902";"6"
"Lazkao";"4";"Municipio";"Gipuzkoa";"20049";"6"
"Leaburu";"4";"Municipio";"Gipuzkoa";"20050";"6"
"Legazpi";"4";"Municipio";"Gipuzkoa";"20051";"6"
"Legorreta";"4";"Municipio";"Gipuzkoa";"20052";"6"
"Leintz-Gatzaga";"4";"Municipio";"Gipuzkoa";"20068";"6"
"Lezo";"4";"Municipio";"Gipuzkoa";"20053";"6"
"Lizartza";"4";"Municipio";"Gipuzkoa";"20054";"6"
"Mendaro";"4";"Municipio";"Gipuzkoa";"20901";"6"
"Mutiloa";"4";"Municipio";"Gipuzkoa";"20057";"6"
"Mutriku";"4";"Municipio";"Gipuzkoa";"20056";"6"
"Oiartzun";"4";"Municipio";"Gipuzkoa";"20063";"6"
"Olaberria";"4";"Municipio";"Gipuzkoa";"20058";"6"
"Ondarroa";"4";"Municipio";"Gipuzkoa";"48073";"6"
"Oñati";"4";"Municipio";"Gipuzkoa";"20059";"6"
"Ordizia";"4";"Municipio";"Gipuzkoa";"20076";"6"
"Orendain";"4";"Municipio";"Gipuzkoa";"20905";"6"
"Orexa";"4";"Municipio";"Gipuzkoa";"20060";"6"
"Orio";"4";"Municipio";"Gipuzkoa";"20061";"6"
"Ormaiztegi";"4";"Municipio";"Gipuzkoa";"20062";"6"
"Pasaia";"4";"Municipio";"Gipuzkoa";"20064";"6"
"Segura";"4";"Municipio";"Gipuzkoa";"20070";"6"
"Soraluze-Placencia de las Armas";"4";"Municipio";"Gipuzkoa";"20065";"6"
"Tolosa";"4";"Municipio";"Gipuzkoa";"20071";"6"
"Urnieta";"4";"Municipio";"Gipuzkoa";"20072";"6"
"Urretxu";"4";"Municipio";"Gipuzkoa";"20077";"6"
"Usurbil";"4";"Municipio";"Gipuzkoa";"20073";"6"
"Villabona";"4";"Municipio";"Gipuzkoa";"20075";"6"
"Zaldibia";"4";"Municipio";"Gipuzkoa";"20078";"6"
"Zarautz";"4";"Municipio";"Gipuzkoa";"20079";"6"
"Zegama";"4";"Municipio";"Gipuzkoa";"20025";"6"
"Zerain";"4";"Municipio";"Gipuzkoa";"20026";"6"
"Zestoa";"4";"Municipio";"Gipuzkoa";"20027";"6"
"Zizurkil";"4";"Municipio";"Gipuzkoa";"20028";"6"
"Zumaia";"4";"Municipio";"Gipuzkoa";"20081";"6"
"Zumarraga";"4";"Municipio";"Gipuzkoa";"20080";"6"
"Agurain/Salvatierra";"4";"Municipio";"Araba/Álava";"01051";"6"
"Alegría-Dulantzi";"4";"Municipio";"Araba/Álava";"01001";"6"
"Amurrio";"4";"Municipio";"Araba/Álava";"01002";"6"
"Añana";"4";"Municipio";"Araba/Álava";"01049";"6"
"Aramaio";"4";"Municipio";"Araba/Álava";"01003";"6"
"Armiñón";"4";"Municipio";"Araba/Álava";"01006";"6"
"Arraia-Maeztu";"4";"Municipio";"Araba/Álava";"01037";"6"
"Arratzua-Ubarrundia";"4";"Municipio";"Araba/Álava";"01008";"6"
"Artziniega";"4";"Municipio";"Araba/Álava";"01004";"6"
"Asparrena";"4";"Municipio";"Araba/Álava";"01009";"6"
"Ayala/Aiara";"4";"Municipio";"Araba/Álava";"01010";"6"
"Baños de Ebro/Mañueta";"4";"Municipio";"Araba/Álava";"01011";"6"
"Barrundia";"4";"Municipio";"Araba/Álava";"01013";"6"
"Berantevilla";"4";"Municipio";"Araba/Álava";"01014";"6"
"Bernedo";"4";"Municipio";"Araba/Álava";"01016";"6"
"Campezo/Kanpezu";"4";"Municipio";"Araba/Álava";"01017";"6"
"Elburgo/Burgelu";"4";"Municipio";"Araba/Álava";"01021";"6"
"Elciego";"4";"Municipio";"Araba/Álava";"01022";"6"
"Elvillar/Bilar";"4";"Municipio";"Araba/Álava";"01023";"6"
"Erriberagoitia/Ribera Alta";"4";"Municipio";"Araba/Álava";"01046";"6"
"Harana/Valle de Arana";"4";"Municipio";"Araba/Álava";"01056";"6"
"Iruña Oka/Iruña de Oca";"4";"Municipio";"Araba/Álava";"01901";"6"
"Iruraiz-Gauna";"4";"Municipio";"Araba/Álava";"01027";"6"
"Kripan";"4";"Municipio";"Araba/Álava";"01019";"6"
"Kuartango";"4";"Municipio";"Araba/Álava";"01020";"6"
"Labastida/Bastida";"4";"Municipio";"Araba/Álava";"01028";"6"
"Lagrán";"4";"Municipio";"Araba/Álava";"01030";"6"
"Laguardia";"4";"Municipio";"Araba/Álava";"01031";"6"
"Lanciego/Lantziego";"4";"Municipio";"Araba/Álava";"01032";"6"
"Lantarón";"4";"Municipio";"Araba/Álava";"01902";"6"
"Lapuebla de Labarca";"4";"Municipio";"Araba/Álava";"01033";"6"
"Laudio/Llodio";"4";"Municipio";"Araba/Álava";"01036";"6"
"Legutio";"4";"Municipio";"Araba/Álava";"01058";"6"
"Leza";"4";"Municipio";"Araba/Álava";"01034";"6"
"Moreda de Álava/Moreda Araba";"4";"Municipio";"Araba/Álava";"01039";"6"
"Navaridas";"4";"Municipio";"Araba/Álava";"01041";"6"
"Okondo";"4";"Municipio";"Araba/Álava";"01042";"6"
"Oyón-Oion";"4";"Municipio";"Araba/Álava";"01043";"6"
"Peñacerrada-Urizaharra";"4";"Municipio";"Araba/Álava";"01044";"6"
"Ribera Baja/Erriberabeitia";"4";"Municipio";"Araba/Álava";"01047";"6"
"Samaniego";"4";"Municipio";"Araba/Álava";"01052";"6"
"San Millán/Donemiliaga";"4";"Municipio";"Araba/Álava";"01053";"6"
"Urduña/Orduña";"4";"Municipio";"Araba/Álava";"48074";"6"
"Urkabustaiz";"4";"Municipio";"Araba/Álava";"01054";"6"
"Valdegovía/Gaubea";"4";"Municipio";"Araba/Álava";"01055";"6"
"Villabuena de Álava/Eskuernaga";"4";"Municipio";"Araba/Álava";"01057";"6"
"Vitoria-Gasteiz";"4";"Municipio";"Araba/Álava";"01059";"6"
"Yécora/Iekora";"4";"Municipio";"Araba/Álava";"01060";"6"
"Zalduondo";"4";"Municipio";"Araba/Álava";"01061";"6"
"Zambrana";"4";"Municipio";"Araba/Álava";"01062";"6"
"Zigoitia";"4";"Municipio";"Araba/Álava";"01018";"6"
"Zuia";"4";"Municipio";"Araba/Álava";"01063";"6"
"Entzia-Iturrieta";"4";"Comarca";"Araba/Álava";"";"6"
"Limitadua/El Limitado";"4";"Comarca";"Araba/Álava";"";"6"
"Badaiako mankomunitatea/Mancomunidad de Badaia";"4";"Comarca";"Araba/Álava";"";"6"
"Gipuzkoako eta Arabako Partzuergo Nagusia/Parzonería General de Gipuzkoa y Álava";"4";"Comarca";"Gipuzkoa";"";"6"
"Gipuzkoako Partzuergo Txikia/Parzonería Menor de Gipuzkoa";"4";"Comarca";"Gipuzkoa";"";"6"
"Enirio-Aralar";"4";"Comarca";"Gipuzkoa";"";"6"
"C.A. de Euskadi";"1";"C.A. de Euskadi";"C.A. de Euskadi";"04";"4"
"Araba/Álava";"2";"T.H.";"Araba/Álava";"01";"1"
"Bizkaia";"2";"T.H.";"Bizkaia";"48";"2"
"Gipuzkoa";"2";"T.H.";"Gipuzkoa";"20";"3"
"Añana (comarca)";"3";"Comarca";"Araba/Álava";"01";"5"
"Arabako Errioxa / Rioja Alavesa";"3";"Comarca";"Araba/Álava";"01";"5"
"Arabako Kantaurialdea / Cantábrica Alavesa";"3";"Comarca";"Araba/Álava";"01";"5"
"Arabako Lautada / Llanada Alavesa";"3";"Comarca";"Araba/Álava";"01";"5"
"Arabako Mendialdea / Montaña Alavesa";"3";"Comarca";"Araba/Álava";"01";"5"
"Arratia-Nerbioi / Arratia-Nervión";"3";"Comarca";"Bizkaia";"48";"5"
"Bidasoa Beherea / Bajo Bidasoa";"3";"Comarca";"Gipuzkoa";"20";"5"
"Bilbo Handia / Gran Bilbao";"3";"Comarca";"Bizkaia";"48";"5"
"Debabarrena / Bajo Deba";"3";"Comarca";"Gipuzkoa";"20";"5"
"Debagoiena / Alto Deba";"3";"Comarca";"Gipuzkoa";"20";"5"
"Donostialdea";"3";"Comarca";"Gipuzkoa";"20";"5"
"Durangaldea / Duranguesado";"3";"Comarca";"Bizkaia";"48";"5"
"Enkartazioak / Encartaciones";"3";"Comarca";"Bizkaia";"48";"5"
"Gernika-Bermeo";"3";"Comarca";"Bizkaia";"48";"5"
"Goierri";"3";"Comarca";"Gipuzkoa";"20";"5"
"Gorbeialdea / Estribaciones del Gorbea";"3";"Comarca";"Araba/Álava";"01";"5"
"Markina-Ondarroa";"3";"Comarca";"Bizkaia";"48";"5"
"Plentzia-Mungia";"3";"Comarca";"Bizkaia";"48";"5"
"Tolosaldea";"3";"Comarca";"Gipuzkoa";"20";"5"
"Urola Kosta";"3";"Comarca";"Gipuzkoa";"20";"5"
