Año;Ámbito Territorial;Valor;Magnitud
2003;"Araba/Álava";;"Por 1.000 habitantes"
2003;"C.A. de Euskadi";;"Por 1.000 habitantes"
2003;"Bizkaia";;"Por 1.000 habitantes"
2003;"Gipuzkoa";;"Por 1.000 habitantes"
2003;"Arabako Lautada / Llanada Alavesa";;"Por 1.000 habitantes"
2003;"Arabako Mendialdea / Montaña Alavesa";;"Por 1.000 habitantes"
2003;"Arratia-Nerbioi / Arratia-Nervión";;"Por 1.000 habitantes"
2003;"Bidasoa Beherea / Bajo Bidasoa";;"Por 1.000 habitantes"
2003;"Bilbo Handia / Gran Bilbao";;"Por 1.000 habitantes"
2003;"Debabarrena / Bajo Deba";;"Por 1.000 habitantes"
2003;"Debagoiena / Alto Deba";;"Por 1.000 habitantes"
2003;"Añana (Comarca)";;"Por 1.000 habitantes"
2003;"Donostialdea";;"Por 1.000 habitantes"
2003;"Durangaldea / Duranguesado";;"Por 1.000 habitantes"
2003;"Enkartazioak / Encartaciones";;"Por 1.000 habitantes"
2003;"Arabako Errioxa / Rioja Alavesa";;"Por 1.000 habitantes"
2003;"Gernika-Bermeo";;"Por 1.000 habitantes"
2003;"Goierri";;"Por 1.000 habitantes"
2003;"Gorbeialdea / Estribaciones del Gorbea";;"Por 1.000 habitantes"
2003;"Kantauri Arabarra / Cantábrica Alavesa";;"Por 1.000 habitantes"
2003;"Markina-Ondarroa";;"Por 1.000 habitantes"
2003;"Plentzia-Mungia";;"Por 1.000 habitantes"
2003;"Tolosaldea / Tolosa";;"Por 1.000 habitantes"
2003;"Urola-Kostaldea / Urola Costa";;"Por 1.000 habitantes"
2003;"Abaltzisketa";;"Por 1.000 habitantes"
2003;"Albiztur";;"Por 1.000 habitantes"
2003;"Altzaga";;"Por 1.000 habitantes"
2003;"Altzo";;"Por 1.000 habitantes"
2003;"Amezketa";;"Por 1.000 habitantes"
2003;"Amoroto";;"Por 1.000 habitantes"
2003;"Arama";;"Por 1.000 habitantes"
2003;"Aramaio";;"Por 1.000 habitantes"
2003;"Arratzu";;"Por 1.000 habitantes"
2003;"Añana";;"Por 1.000 habitantes"
2003;"Baliarrain";;"Por 1.000 habitantes"
2003;"Barrika";;"Por 1.000 habitantes"
2003;"Barrundia";;"Por 1.000 habitantes"
2003;"Baños de Ebro/Mañueta";;"Por 1.000 habitantes"
2003;"Beizama";;"Por 1.000 habitantes"
2003;"Belauntza";;"Por 1.000 habitantes"
2003;"Berango";;"Por 1.000 habitantes"
2003;"Berrobi";;"Por 1.000 habitantes"
2003;"Elburgo/Burgelu";;"Por 1.000 habitantes"
2003;"Ereño";;"Por 1.000 habitantes"
2003;"Errigoiti";;"Por 1.000 habitantes"
2003;"Gaintza";;"Por 1.000 habitantes"
2003;"Garai";;"Por 1.000 habitantes"
2003;"Gaztelu";;"Por 1.000 habitantes"
2003;"Gorliz";;"Por 1.000 habitantes"
2003;"Iruraiz-Gauna";;"Por 1.000 habitantes"
2003;"Kortezubi";;"Por 1.000 habitantes"
2003;"Kripan";;"Por 1.000 habitantes"
2003;"Lagrán";;"Por 1.000 habitantes"
2003;"Larraul";;"Por 1.000 habitantes"
2003;"Laukiz";;"Por 1.000 habitantes"
2003;"Lemoiz";;"Por 1.000 habitantes"
2003;"Loiu";;"Por 1.000 habitantes"
2003;"Mañaria";;"Por 1.000 habitantes"
2003;"Mendata";;"Por 1.000 habitantes"
2003;"Meñaka";;"Por 1.000 habitantes"
2003;"Morga";;"Por 1.000 habitantes"
2003;"Mutiloa";;"Por 1.000 habitantes"
2003;"Navaridas";;"Por 1.000 habitantes"
2003;"Orendain";;"Por 1.000 habitantes"
2003;"Orexa";;"Por 1.000 habitantes"
2003;"Plentzia";;"Por 1.000 habitantes"
2003;"Sopela";;"Por 1.000 habitantes"
2003;"Urduliz";;"Por 1.000 habitantes"
2003;"Villabuena de Álava/Eskuernaga";;"Por 1.000 habitantes"
2003;"Yécora/Iekora";;"Por 1.000 habitantes"
2003;"Zalduondo";;"Por 1.000 habitantes"
2003;"Entzia-Iturrieta";;"Por 1.000 habitantes"
2003;"Limitadua/El Limitado";;"Por 1.000 habitantes"
2003;"Badaiako mankomunitatea/Mancomunidad de Badaia";;"Por 1.000 habitantes"
2003;"Gipuzkoako eta Arabako Partzuergo Nagusia/Parzonería General de Gipuzkoa y Álava";;"Por 1.000 habitantes"
2003;"Gipuzkoako Partzuergo Txikia/Parzonería Menor de Gipuzkoa";;"Por 1.000 habitantes"
2003;"Enirio-Aralar";;"Por 1.000 habitantes"
2006;"Araba/Álava";;"Por 1.000 habitantes"
2006;"C.A. de Euskadi";;"Por 1.000 habitantes"
2006;"Bizkaia";;"Por 1.000 habitantes"
2006;"Gipuzkoa";;"Por 1.000 habitantes"
2006;"Arabako Lautada / Llanada Alavesa";;"Por 1.000 habitantes"
2006;"Arabako Mendialdea / Montaña Alavesa";;"Por 1.000 habitantes"
2006;"Arratia-Nerbioi / Arratia-Nervión";;"Por 1.000 habitantes"
2006;"Bidasoa Beherea / Bajo Bidasoa";;"Por 1.000 habitantes"
2006;"Bilbo Handia / Gran Bilbao";;"Por 1.000 habitantes"
2006;"Debabarrena / Bajo Deba";;"Por 1.000 habitantes"
2006;"Debagoiena / Alto Deba";;"Por 1.000 habitantes"
2006;"Donostialdea";;"Por 1.000 habitantes"
2006;"Añana (Comarca)";;"Por 1.000 habitantes"
2006;"Durangaldea / Duranguesado";;"Por 1.000 habitantes"
2006;"Enkartazioak / Encartaciones";;"Por 1.000 habitantes"
2006;"Arabako Errioxa / Rioja Alavesa";;"Por 1.000 habitantes"
2006;"Gernika-Bermeo";;"Por 1.000 habitantes"
2006;"Goierri";;"Por 1.000 habitantes"
2006;"Gorbeialdea / Estribaciones del Gorbea";;"Por 1.000 habitantes"
2006;"Kantauri Arabarra / Cantábrica Alavesa";;"Por 1.000 habitantes"
2006;"Markina-Ondarroa";;"Por 1.000 habitantes"
2006;"Plentzia-Mungia";;"Por 1.000 habitantes"
2006;"Tolosaldea / Tolosa";;"Por 1.000 habitantes"
2006;"Urola-Kostaldea / Urola Costa";;"Por 1.000 habitantes"
2006;"Abaltzisketa";;"Por 1.000 habitantes"
2006;"Albiztur";;"Por 1.000 habitantes"
2006;"Altzaga";;"Por 1.000 habitantes"
2006;"Amezketa";;"Por 1.000 habitantes"
2006;"Amoroto";;"Por 1.000 habitantes"
2006;"Arama";;"Por 1.000 habitantes"
2006;"Armiñón";;"Por 1.000 habitantes"
2006;"Arratzu";;"Por 1.000 habitantes"
2006;"Añana";;"Por 1.000 habitantes"
2006;"Baños de Ebro/Mañueta";;"Por 1.000 habitantes"
2006;"Beizama";;"Por 1.000 habitantes"
2006;"Belauntza";;"Por 1.000 habitantes"
2006;"Bernedo";;"Por 1.000 habitantes"
2006;"Berrobi";;"Por 1.000 habitantes"
2006;"Elburgo/Burgelu";;"Por 1.000 habitantes"
2006;"Elvillar/Bilar";;"Por 1.000 habitantes"
2006;"Ereño";;"Por 1.000 habitantes"
2006;"Errigoiti";;"Por 1.000 habitantes"
2006;"Gaintza";;"Por 1.000 habitantes"
2006;"Garai";;"Por 1.000 habitantes"
2006;"Gaztelu";;"Por 1.000 habitantes"
2006;"Harana/Valle de Arana";;"Por 1.000 habitantes"
2006;"Kortezubi";;"Por 1.000 habitantes"
2006;"Kripan";;"Por 1.000 habitantes"
2006;"Kuartango";;"Por 1.000 habitantes"
2006;"Lagrán";;"Por 1.000 habitantes"
2006;"Laukiz";;"Por 1.000 habitantes"
2006;"Leza";;"Por 1.000 habitantes"
2006;"Loiu";;"Por 1.000 habitantes"
2006;"Mañaria";;"Por 1.000 habitantes"
2006;"Mendata";;"Por 1.000 habitantes"
2006;"Meñaka";;"Por 1.000 habitantes"
2006;"Moreda de Álava/Moreda Araba";;"Por 1.000 habitantes"
2006;"Morga";;"Por 1.000 habitantes"
2006;"Mutiloa";;"Por 1.000 habitantes"
2006;"Navaridas";;"Por 1.000 habitantes"
2006;"Orendain";;"Por 1.000 habitantes"
2006;"Orexa";;"Por 1.000 habitantes"
2006;"Peñacerrada-Urizaharra";;"Por 1.000 habitantes"
2006;"Villabuena de Álava/Eskuernaga";;"Por 1.000 habitantes"
2006;"Yécora/Iekora";;"Por 1.000 habitantes"
2006;"Zambrana";;"Por 1.000 habitantes"
2006;"Entzia-Iturrieta";;"Por 1.000 habitantes"
2006;"Limitadua/El Limitado";;"Por 1.000 habitantes"
2006;"Badaiako mankomunitatea/Mancomunidad de Badaia";;"Por 1.000 habitantes"
2006;"Gipuzkoako eta Arabako Partzuergo Nagusia/Parzonería General de Gipuzkoa y Álava";;"Por 1.000 habitantes"
2006;"Gipuzkoako Partzuergo Txikia/Parzonería Menor de Gipuzkoa";;"Por 1.000 habitantes"
2006;"Enirio-Aralar";;"Por 1.000 habitantes"
2004;"Araba/Álava";;"Por 1.000 habitantes"
2004;"C.A. de Euskadi";;"Por 1.000 habitantes"
2004;"Bizkaia";;"Por 1.000 habitantes"
2004;"Gipuzkoa";;"Por 1.000 habitantes"
2004;"Arabako Lautada / Llanada Alavesa";;"Por 1.000 habitantes"
2004;"Arabako Mendialdea / Montaña Alavesa";;"Por 1.000 habitantes"
2004;"Arratia-Nerbioi / Arratia-Nervión";;"Por 1.000 habitantes"
2004;"Bidasoa Beherea / Bajo Bidasoa";;"Por 1.000 habitantes"
2004;"Bilbo Handia / Gran Bilbao";;"Por 1.000 habitantes"
2004;"Debabarrena / Bajo Deba";;"Por 1.000 habitantes"
2004;"Debagoiena / Alto Deba";;"Por 1.000 habitantes"
2004;"Añana (Comarca)";;"Por 1.000 habitantes"
2004;"Donostialdea";;"Por 1.000 habitantes"
2004;"Durangaldea / Duranguesado";;"Por 1.000 habitantes"
2004;"Enkartazioak / Encartaciones";;"Por 1.000 habitantes"
2004;"Arabako Errioxa / Rioja Alavesa";;"Por 1.000 habitantes"
2004;"Gernika-Bermeo";;"Por 1.000 habitantes"
2004;"Goierri";;"Por 1.000 habitantes"
2004;"Gorbeialdea / Estribaciones del Gorbea";;"Por 1.000 habitantes"
2004;"Kantauri Arabarra / Cantábrica Alavesa";;"Por 1.000 habitantes"
2004;"Markina-Ondarroa";;"Por 1.000 habitantes"
2004;"Plentzia-Mungia";;"Por 1.000 habitantes"
2004;"Tolosaldea / Tolosa";;"Por 1.000 habitantes"
2004;"Urola-Kostaldea / Urola Costa";;"Por 1.000 habitantes"
2004;"Abaltzisketa";;"Por 1.000 habitantes"
