Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2022;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";68,8
2024;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";69,8
2019;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";67
2023;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";71,5
2025;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";71,8
2020;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";69,8
2021;"A - Al menos una / Competencia global";"Total";"Total";"C.A. de Euskadi";"%";75
2020;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";70,1
2019;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";68,5
2024;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";69,6
2022;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";68,3
2023;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";71,3
2021;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";75,4
2025;"A - Al menos una / Competencia global";"Total";"Total";"Araba/Álava";"%";70,9
2019;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";67,7
2023;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";71,3
2022;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";68,5
2021;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";74,6
2025;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";73
2024;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";70,8
2020;"A - Al menos una / Competencia global";"Total";"Total";"Bizkaia";"%";69,5
2020;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";70,2
2022;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";69,4
2023;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";72
2024;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";68,4
2025;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";70,1
2019;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";65,2
2021;"A - Al menos una / Competencia global";"Total";"Total";"Gipuzkoa";"%";75,4
2025;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";45,8
2021;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";64,6
2022;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";54
2019;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";53,9
2024;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";47,8
2023;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";51,6
2020;"D - Instalar software o aplicaciones";"Total";"Total";"C.A. de Euskadi";"%";58,8
2021;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";65,8
2020;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";57,3
2019;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";54,5
2024;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";48,8
2025;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";46,8
2022;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";53
2023;"D - Instalar software o aplicaciones";"Total";"Total";"Araba/Álava";"%";52,5
2021;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";64,3
2024;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";48,4
2023;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";51,9
2019;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";55,2
2020;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";58,3
2022;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";54,5
2025;"D - Instalar software o aplicaciones";"Total";"Total";"Bizkaia";"%";46,5
2020;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";60,2
2022;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";53,6
2023;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";50,7
2024;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";46,4
2021;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";64,6
2025;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";44,3
2019;"D - Instalar software o aplicaciones";"Total";"Total";"Gipuzkoa";"%";51,6
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";33,4
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";27,9
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";28,4
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";16
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";29,2
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";21,3
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";23
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";26,8
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";16,2
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";27
