Año;Nacionalidad;Motivo Nivel 1;Motivo Nivel 2;Motivo Nivel 3;Motivo Nivel 4;Magnitud;Valor
2024;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"C.A. de Euskadi";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"C.A. de Euskadi";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Otras C.C.A.A.";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Otras C.C.A.A.";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Nacionalidad Extranjera";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Nacionalidad Extranjera";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total Europa";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total Europa";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"U.E. 27";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"U.E. 27";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Resto Europa";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Resto Europa";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total África";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total África";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Magreb";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Magreb";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Resto África";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Resto África";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total América";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total América";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Latinoamérica";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Latinoamérica";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"EE.U.U. y Canadá";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"EE.U.U. y Canadá";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total Asia";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total Asia";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total Oceanía";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total Oceanía";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Nacionalidad Extranjera SIN ESPECIFICAR";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Nacionalidad Extranjera SIN ESPECIFICAR";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Sin Nacionalidad conocida";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Sin Nacionalidad conocida";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total";"Homicidio y sus formas";"";"";"";"Personas";0
2025;"Total";"Homicidio y sus formas";"";"";"";"Personas";0
2024;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"C.A. de Euskadi";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"C.A. de Euskadi";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Nacionalidad Extranjera";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Nacionalidad Extranjera";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"U.E. 27";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"U.E. 27";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Resto Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Resto Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total África";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total África";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Magreb";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Magreb";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Resto África";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Resto África";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total América";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total América";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Latinoamérica";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Latinoamérica";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"EE.U.U. y Canadá";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"EE.U.U. y Canadá";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total Asia";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total Asia";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total Oceanía";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total Oceanía";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Nacionalidad Extranjera SIN ESPECIFICAR";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Nacionalidad Extranjera SIN ESPECIFICAR";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Sin Nacionalidad conocida";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Sin Nacionalidad conocida";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2025;"Total";"Homicidio y sus formas";"Homicidio doloso/ asesinato consumado";"";"";"Personas";0
2024;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Total C.A de Euskadi + Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"C.A. de Euskadi";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"C.A. de Euskadi";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Otras C.C.A.A.";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Nacionalidad Extranjera";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Nacionalidad Extranjera";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Total Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Total Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"U.E. 27";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"U.E. 27";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Resto Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Resto Europa";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Total África";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Total África";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Magreb";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Magreb";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Resto África";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Resto África";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2024;"Total América";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
2025;"Total América";"Homicidio y sus formas";"Homicidio doloso/ asesinato tentativa";"";"";"Personas";0
