Ámbito Territorial;Edad Demográfica;Sexo;Año;Población;Clave-Compuesta-1
"Entzia-Iturrieta";"20 - 64";"Total";2001;0;"Entzia-Iturrieta|2001|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2002;0;"Entzia-Iturrieta|2002|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2003;0;"Entzia-Iturrieta|2003|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2004;0;"Entzia-Iturrieta|2004|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2005;0;"Entzia-Iturrieta|2005|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2006;0;"Entzia-Iturrieta|2006|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2007;0;"Entzia-Iturrieta|2007|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2008;0;"Entzia-Iturrieta|2008|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2009;0;"Entzia-Iturrieta|2009|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2010;0;"Entzia-Iturrieta|2010|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2011;0;"Entzia-Iturrieta|2011|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2012;0;"Entzia-Iturrieta|2012|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2013;0;"Entzia-Iturrieta|2013|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2014;0;"Entzia-Iturrieta|2014|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2015;0;"Entzia-Iturrieta|2015|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2016;0;"Entzia-Iturrieta|2016|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2017;0;"Entzia-Iturrieta|2017|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2018;0;"Entzia-Iturrieta|2018|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2019;0;"Entzia-Iturrieta|2019|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2020;0;"Entzia-Iturrieta|2020|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2021;0;"Entzia-Iturrieta|2021|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2022;0;"Entzia-Iturrieta|2022|Total|20 - 64"
"Entzia-Iturrieta";"20 - 64";"Total";2023;0;"Entzia-Iturrieta|2023|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2001;0;"Limitadua/El Limitado|2001|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2002;0;"Limitadua/El Limitado|2002|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2003;0;"Limitadua/El Limitado|2003|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2004;0;"Limitadua/El Limitado|2004|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2005;0;"Limitadua/El Limitado|2005|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2006;0;"Limitadua/El Limitado|2006|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2007;0;"Limitadua/El Limitado|2007|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2008;0;"Limitadua/El Limitado|2008|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2009;0;"Limitadua/El Limitado|2009|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2010;0;"Limitadua/El Limitado|2010|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2011;0;"Limitadua/El Limitado|2011|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2012;0;"Limitadua/El Limitado|2012|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2013;0;"Limitadua/El Limitado|2013|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2014;0;"Limitadua/El Limitado|2014|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2015;0;"Limitadua/El Limitado|2015|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2016;0;"Limitadua/El Limitado|2016|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2017;0;"Limitadua/El Limitado|2017|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2018;0;"Limitadua/El Limitado|2018|Total|20 - 64"
"Limitadua/El Limitado";"20 - 64";"Total";2019;0;"Limitadua/El Limitado|2019|Total|20 - 64"
