Año;Sexo;Edad;Nacionalidad;Discapacidad;Ámbito Territorial;Magnitud;Value
2019;"Total";"Total";"";"";"C.A. de Euskadi";"%";9,8
2019;"Total";"Total";"";"";"Abadiño";"%";9,1
2019;"Total";"Total";"";"";"Abaltzisketa";"%";5
2019;"Total";"Total";"";"";"Abanto y Ciérvana-Abanto Zierbena";"%";12,5
2019;"Total";"Total";"";"";"Aduna";"%";2,8
2019;"Total";"Total";"";"";"Agurain/Salvatierra";"%";13,1
2019;"Total";"Total";"";"";"Aia";"%";6,5
2019;"Total";"Total";"";"";"Aizarnazabal";"%";11,7
2019;"Total";"Total";"";"";"Ajangiz";"%";4,2
2019;"Total";"Total";"";"";"Albiztur";"%";2,1
2019;"Total";"Total";"";"";"Alegia";"%";9,2
2019;"Total";"Total";"";"";"Alegría-Dulantzi";"%";10,7
2019;"Total";"Total";"";"";"Alkiza";"%";8,7
2019;"Total";"Total";"";"";"Alonsotegi";"%";15,4
2019;"Total";"Total";"";"";"Altzaga";"%";6,3
2019;"Total";"Total";"";"";"Altzo";"%";4,1
2019;"Total";"Total";"";"";"Amezketa";"%";8,4
2019;"Total";"Total";"";"";"Amorebieta-Etxano";"%";8,9
2019;"Total";"Total";"";"";"Amoroto";"%";8,4
2019;"Total";"Total";"";"";"Amurrio";"%";10,7
2019;"Total";"Total";"";"";"Andoain";"%";9,1
2019;"Total";"Total";"";"";"Anoeta";"%";8,4
2019;"Total";"Total";"";"";"Antzuola";"%";5
2019;"Total";"Total";"";"";"Añana";"%";7
2019;"Total";"Total";"";"";"Arakaldo";"%";10,8
2019;"Total";"Total";"";"";"Arama";"%";6,1
2019;"Total";"Total";"";"";"Aramaio";"%";4,3
2019;"Total";"Total";"";"";"Arantzazu";"%";7,2
2019;"Total";"Total";"";"";"Areatza";"%";10,4
2019;"Total";"Total";"";"";"Aretxabaleta";"%";7,8
2019;"Total";"Total";"";"";"Armiñón";"%";7,9
2019;"Total";"Total";"";"";"Arraia-Maeztu";"%";5,1
2019;"Total";"Total";"";"";"Arrankudiaga-Zollo";"%";9,3
2019;"Total";"Total";"";"";"Arrasate/Mondragón";"%";10,2
2019;"Total";"Total";"";"";"Arratzu";"%";6,3
2019;"Total";"Total";"";"";"Arratzua-Ubarrundia";"%";7
2019;"Total";"Total";"";"";"Arrieta";"%";6,9
2019;"Total";"Total";"";"";"Arrigorriaga";"%";10,8
2019;"Total";"Total";"";"";"Artea";"%";7,8
2019;"Total";"Total";"";"";"Artzentales";"%";14,4
2019;"Total";"Total";"";"";"Artziniega";"%";11,2
2019;"Total";"Total";"";"";"Asparrena";"%";13,8
2019;"Total";"Total";"";"";"Asteasu";"%";5,6
2019;"Total";"Total";"";"";"Astigarraga";"%";6,8
2019;"Total";"Total";"";"";"Ataun";"%";6,8
2019;"Total";"Total";"";"";"Atxondo";"%";7,1
2019;"Total";"Total";"";"";"Aulesti";"%";6,1
2019;"Total";"Total";"";"";"Ayala/Aiara";"%";8,3
2019;"Total";"Total";"";"";"Azkoitia";"%";8,7
2019;"Total";"Total";"";"";"Azpeitia";"%";7,6
2019;"Total";"Total";"";"";"Bakio";"%";9,9
2019;"Total";"Total";"";"";"Baliarrain";"%";2,8
2019;"Total";"Total";"";"";"Balmaseda";"%";16,3
2019;"Total";"Total";"";"";"Baños de Ebro/Mañueta";"%";6
2019;"Total";"Total";"";"";"Barakaldo";"%";12,6
2019;"Total";"Total";"";"";"Barrika";"%";12,1
2019;"Total";"Total";"";"";"Barrundia";"%";4
2019;"Total";"Total";"";"";"Basauri";"%";13
2019;"Total";"Total";"";"";"Beasain";"%";8
2019;"Total";"Total";"";"";"Bedia";"%";8,9
2019;"Total";"Total";"";"";"Beizama";"%";7,5
2019;"Total";"Total";"";"";"Belauntza";"%";6,5
2019;"Total";"Total";"";"";"Berango";"%";9,1
2019;"Total";"Total";"";"";"Berantevilla";"%";10,4
2019;"Total";"Total";"";"";"Berastegi";"%";6,5
2019;"Total";"Total";"";"";"Bergara";"%";8
2019;"Total";"Total";"";"";"Bermeo";"%";14,4
2019;"Total";"Total";"";"";"Bernedo";"%";5,6
2019;"Total";"Total";"";"";"Berriatua";"%";9,3
2019;"Total";"Total";"";"";"Berriz";"%";9
2019;"Total";"Total";"";"";"Berrobi";"%";9,2
2019;"Total";"Total";"";"";"Bidania-Goiatz";"%";6,9
2019;"Total";"Total";"";"";"Bilbao";"%";13,2
2019;"Total";"Total";"";"";"Busturia";"%";10,8
2019;"Total";"Total";"";"";"Campezo/Kanpezu";"%";9,1
2019;"Total";"Total";"";"";"Deba";"%";7,2
2019;"Total";"Total";"";"";"Derio";"%";7,9
2019;"Total";"Total";"";"";"Dima";"%";6,2
2019;"Total";"Total";"";"";"Donostia / San Sebastián";"%";8,5
2019;"Total";"Total";"";"";"Durango";"%";8,8
2019;"Total";"Total";"";"";"Ea";"%";7,5
2019;"Total";"Total";"";"";"Eibar";"%";11,5
2019;"Total";"Total";"";"";"Elantxobe";"%";15,4
2019;"Total";"Total";"";"";"Elburgo/Burgelu";"%";5,9
2019;"Total";"Total";"";"";"Elciego";"%";10,6
2019;"Total";"Total";"";"";"Elduain";"%";5,7
2019;"Total";"Total";"";"";"Elgeta";"%";7
2019;"Total";"Total";"";"";"Elgoibar";"%";8,6
2019;"Total";"Total";"";"";"Elorrio";"%";8,9
2019;"Total";"Total";"";"";"Elvillar/Bilar";"%";5,7
2019;"Total";"Total";"";"";"Erandio";"%";11,3
2019;"Total";"Total";"";"";"Ereño";"%";7,8
2019;"Total";"Total";"";"";"Ermua";"%";11,1
2019;"Total";"Total";"";"";"Errenteria";"%";9,8
2019;"Total";"Total";"";"";"Errezil";"%";7,2
2019;"Total";"Total";"";"";"Erriberagoitia/Ribera Alta";"%";7,7
2019;"Total";"Total";"";"";"Errigoiti";"%";7
2019;"Total";"Total";"";"";"Eskoriatza";"%";7
2019;"Total";"Total";"";"";"Etxebarri";"%";9
2019;"Total";"Total";"";"";"Etxebarria";"%";7
2019;"Total";"Total";"";"";"Ezkio-Itsaso";"%";4
2019;"Total";"Total";"";"";"Forua";"%";11
2019;"Total";"Total";"";"";"Fruiz";"%";9,8
2019;"Total";"Total";"";"";"Gabiria";"%";4,4
2019;"Total";"Total";"";"";"Gaintza";"%";1,8
2019;"Total";"Total";"";"";"Galdakao";"%";9,7
2019;"Total";"Total";"";"";"Galdames";"%";14,4
2019;"Total";"Total";"";"";"Gamiz-Fika";"%";7,7
2019;"Total";"Total";"";"";"Garai";"%";3,5
2019;"Total";"Total";"";"";"Gatika";"%";7,8
2019;"Total";"Total";"";"";"Gautegiz Arteaga";"%";9,4
2019;"Total";"Total";"";"";"Gaztelu";"%";4
2019;"Total";"Total";"";"";"Gernika-Lumo";"%";9,7
2019;"Total";"Total";"";"";"Getaria";"%";10
2019;"Total";"Total";"";"";"Getxo";"%";9,6
2019;"Total";"Total";"";"";"Gizaburuaga";"%";10,1
2019;"Total";"Total";"";"";"Gordexola";"%";9,4
2019;"Total";"Total";"";"";"Gorliz";"%";10,4
2019;"Total";"Total";"";"";"Güeñes";"%";12,2
2019;"Total";"Total";"";"";"Harana/Valle de Arana";"%";6,1
2019;"Total";"Total";"";"";"Hernani";"%";8,4
2019;"Total";"Total";"";"";"Hernialde";"%";9,9
2019;"Total";"Total";"";"";"Hondarribia";"%";9,4
2019;"Total";"Total";"";"";"Ibarra";"%";10,1
2019;"Total";"Total";"";"";"Ibarrangelu";"%";9,8
2019;"Total";"Total";"";"";"Idiazabal";"%";6,1
2019;"Total";"Total";"";"";"Igorre";"%";10
2019;"Total";"Total";"";"";"Ikaztegieta";"%";10
2019;"Total";"Total";"";"";"Irun";"%";11,2
2019;"Total";"Total";"";"";"Iruña Oka/Iruña de Oca";"%";9,2
2019;"Total";"Total";"";"";"Irura";"%";8,3
2019;"Total";"Total";"";"";"Iruraiz-Gauna";"%";3,6
2019;"Total";"Total";"";"";"Ispaster";"%";9,3
2019;"Total";"Total";"";"";"Itsasondo";"%";9,8
2019;"Total";"Total";"";"";"Iurreta";"%";10,7
2019;"Total";"Total";"";"";"Izurtza";"%";8
2019;"Total";"Total";"";"";"Karrantza Harana/Valle de Carranza";"%";17,3
2019;"Total";"Total";"";"";"Kortezubi";"%";5,1
2019;"Total";"Total";"";"";"Kripan";"%";3,8
2019;"Total";"Total";"";"";"Kuartango";"%";9,4
2019;"Total";"Total";"";"";"Labastida/Bastida";"%";15,3
2019;"Total";"Total";"";"";"Lagrán";"%";7,6
2019;"Total";"Total";"";"";"Laguardia";"%";8,3
2019;"Total";"Total";"";"";"Lanciego/Lantziego";"%";12
2019;"Total";"Total";"";"";"Lanestosa";"%";15,5
2019;"Total";"Total";"";"";"Lantarón";"%";7,6
2019;"Total";"Total";"";"";"Lapuebla de Labarca";"%";13
2019;"Total";"Total";"";"";"Larrabetzu";"%";5,9
2019;"Total";"Total";"";"";"Larraul";"%";7,8
2019;"Total";"Total";"";"";"Lasarte-Oria";"%";8,4
2019;"Total";"Total";"";"";"Laudio/Llodio";"%";12,1
2019;"Total";"Total";"";"";"Laukiz";"%";7,5
2019;"Total";"Total";"";"";"Lazkao";"%";6,5
2019;"Total";"Total";"";"";"Leaburu";"%";9,5
2019;"Total";"Total";"";"";"Legazpi";"%";7,2
2019;"Total";"Total";"";"";"Legorreta";"%";8,7
2019;"Total";"Total";"";"";"Legutio";"%";10,5
2019;"Total";"Total";"";"";"Leintz-Gatzaga";"%";3,1
2019;"Total";"Total";"";"";"Leioa";"%";9,5
2019;"Total";"Total";"";"";"Lekeitio";"%";10,9
2019;"Total";"Total";"";"";"Lemoa";"%";11,1
2019;"Total";"Total";"";"";"Lemoiz";"%";7,5
2019;"Total";"Total";"";"";"Leza";"%";7,3
2019;"Total";"Total";"";"";"Lezama";"%";7,8
2019;"Total";"Total";"";"";"Lezo";"%";8,6
2019;"Total";"Total";"";"";"Lizartza";"%";11,4
2019;"Total";"Total";"";"";"Loiu";"%";7,8
2019;"Total";"Total";"";"";"Mallabia";"%";7,4
2019;"Total";"Total";"";"";"Mañaria";"%";6,1
2019;"Total";"Total";"";"";"Markina-Xemein";"%";7,8
2019;"Total";"Total";"";"";"Maruri-Jatabe";"%";7,4
2019;"Total";"Total";"";"";"Mendaro";"%";7,8
2019;"Total";"Total";"";"";"Mendata";"%";5,8
2019;"Total";"Total";"";"";"Mendexa";"%";9,1
2019;"Total";"Total";"";"";"Meñaka";"%";5,7
2019;"Total";"Total";"";"";"Moreda de Álava/Moreda Araba";"%";11,2
2019;"Total";"Total";"";"";"Morga";"%";8,2
2019;"Total";"Total";"";"";"Mundaka";"%";8,7
2019;"Total";"Total";"";"";"Mungia";"%";9,5
2019;"Total";"Total";"";"";"Munitibar-Arbatzegi Gerrikaitz";"%";7,5
2019;"Total";"Total";"";"";"Murueta";"%";7,3
2019;"Total";"Total";"";"";"Muskiz";"%";11,9
2019;"Total";"Total";"";"";"Mutiloa";"%";3,3
2019;"Total";"Total";"";"";"Mutriku";"%";11,3
2019;"Total";"Total";"";"";"Muxika";"%";10,3
2019;"Total";"Total";"";"";"Nabarniz";"%";7,1
2019;"Total";"Total";"";"";"Navaridas";"%";7,5
2019;"Total";"Total";"";"";"Oiartzun";"%";6,4
2019;"Total";"Total";"";"";"Okondo";"%";10,2
2019;"Total";"Total";"";"";"Olaberria";"%";8,7
2019;"Total";"Total";"";"";"Ondarroa";"%";13,2
2019;"Total";"Total";"";"";"Oñati";"%";5,5
2019;"Total";"Total";"";"";"Ordizia";"%";8,5
2019;"Total";"Total";"";"";"Orendain";"%";3,8
2019;"Total";"Total";"";"";"Orexa";"%";3,7
2019;"Total";"Total";"";"";"Orio";"%";9,5
2019;"Total";"Total";"";"";"Ormaiztegi";"%";7
2019;"Total";"Total";"";"";"Orozko";"%";8,9
2019;"Total";"Total";"";"";"Ortuella";"%";14,1
2019;"Total";"Total";"";"";"Otxandio";"%";8,1
2019;"Total";"Total";"";"";"Oyón-Oion";"%";19,2
2019;"Total";"Total";"";"";"Pasaia";"%";11,3
2019;"Total";"Total";"";"";"Peñacerrada-Urizaharra";"%";6,7
2019;"Total";"Total";"";"";"Plentzia";"%";10,8
2019;"Total";"Total";"";"";"Portugalete";"%";13
2019;"Total";"Total";"";"";"Ribera Baja/Erriberabeitia";"%";10,9
2019;"Total";"Total";"";"";"Samaniego";"%";5,6
2019;"Total";"Total";"";"";"San Millán/Donemiliaga";"%";7,3
2019;"Total";"Total";"";"";"Santurtzi";"%";14,9
2019;"Total";"Total";"";"";"Segura";"%";6,7
2019;"Total";"Total";"";"";"Sestao";"%";17,3
2019;"Total";"Total";"";"";"Sondika";"%";9
2019;"Total";"Total";"";"";"Sopela";"%";9,5
2019;"Total";"Total";"";"";"Sopuerta";"%";10,2
2019;"Total";"Total";"";"";"Soraluze-Placencia de las Armas";"%";12,8
2019;"Total";"Total";"";"";"Sukarrieta";"%";14,7
2019;"Total";"Total";"";"";"Tolosa";"%";7,9
2019;"Total";"Total";"";"";"Trucios-Turtzioz";"%";15
2019;"Total";"Total";"";"";"Ubide";"%";11
2019;"Total";"Total";"";"";"Ugao-Miraballes";"%";10,7
2019;"Total";"Total";"";"";"Urduliz";"%";9,2
2019;"Total";"Total";"";"";"Urduña/Orduña";"%";14,9
2019;"Total";"Total";"";"";"Urkabustaiz";"%";9,9
2019;"Total";"Total";"";"";"Urnieta";"%";7,3
2019;"Total";"Total";"";"";"Urretxu";"%";8
2019;"Total";"Total";"";"";"Usurbil";"%";7,4
2019;"Total";"Total";"";"";"Valdegovía/Gaubea";"%";9,8
2019;"Total";"Total";"";"";"Valle de Trápaga-Trapagaran";"%";12,4
2019;"Total";"Total";"";"";"Villabona";"%";8,7
2019;"Total";"Total";"";"";"Villabuena de Álava/Eskuernaga";"%";2,9
2019;"Total";"Total";"";"";"Vitoria-Gasteiz";"%";11,2
2019;"Total";"Total";"";"";"Yécora/Iekora";"%";8,2
2019;"Total";"Total";"";"";"Zaldibar";"%";9,7
2019;"Total";"Total";"";"";"Zaldibia";"%";6,3
2019;"Total";"Total";"";"";"Zalduondo";"%";3,9
2019;"Total";"Total";"";"";"Zalla";"%";13,6
2019;"Total";"Total";"";"";"Zambrana";"%";14,6
2019;"Total";"Total";"";"";"Zamudio";"%";9,5
2019;"Total";"Total";"";"";"Zaratamo";"%";13,2
2019;"Total";"Total";"";"";"Zarautz";"%";7,6
2019;"Total";"Total";"";"";"Zeanuri";"%";6,9
2019;"Total";"Total";"";"";"Zeberio";"%";8,3
2019;"Total";"Total";"";"";"Zegama";"%";7,1
2019;"Total";"Total";"";"";"Zerain";"%";2,6
2019;"Total";"Total";"";"";"Zestoa";"%";10,8
2019;"Total";"Total";"";"";"Zierbena";"%";9,1
2019;"Total";"Total";"";"";"Zigoitia";"%";5
2019;"Total";"Total";"";"";"Ziortza-Bolibar";"%";7,6
2019;"Total";"Total";"";"";"Zizurkil";"%";8,5
2019;"Total";"Total";"";"";"Zuia";"%";5,5
2019;"Total";"Total";"";"";"Zumaia";"%";8,2
2019;"Total";"Total";"";"";"Zumarraga";"%";10,2
2019;"Total";"Total";"";"";"Añana (comarca)";"%";9,6
2019;"Total";"Total";"";"";"Arabako Errioxa / Rioja Alavesa";"%";12,8
2019;"Total";"Total";"";"";"Arabako Kantaurialdea / Cantábrica Alavesa";"%";11,2
2019;"Total";"Total";"";"";"Arabako Lautada / Llanada Alavesa";"%";11,2
2019;"Total";"Total";"";"";"Arabako Mendialdea / Montaña Alavesa";"%";7
2019;"Total";"Total";"";"";"Arratia-Nerbioi / Arratia-NerviónArratia-Nerbioi / Arratia-Nervión";"%";10,1
2019;"Total";"Total";"";"";"Bidasoa Beherea / Bajo Bidasoa";"%";10,8
2019;"Total";"Total";"";"";"Bilbo Handia / Gran Bilbao";"%";12,4
2019;"Total";"Total";"";"";"Debabarrena / Bajo Deba";"%";10,4
2019;"Total";"Total";"";"";"Debagoiena / Alto Deba";"%";8,1
2019;"Total";"Total";"";"";"Donostialdea";"%";8,7
2019;"Total";"Total";"";"";"Durangaldea / Duranguesado";"%";9,3
2019;"Total";"Total";"";"";"Enkartazioak / Encartaciones";"%";13,8
2019;"Total";"Total";"";"";"Gernika-Bermeo";"%";11,2
2019;"Total";"Total";"";"";"Goierri";"%";7,9
