Sexo;Año;Valor
"Total";1975;72,7
"Total";1976;73,1
"Total";1977;73,5
"Total";1978;73,8
"Total";1979;74,3
"Total";1980;74,6
"Total";1981;74,9
"Total";1982;75,7
"Total";1983;75,6
"Total";1984;75,9
"Total";1985;76
"Total";1986;76
"Total";1987;76,5
"Total";1988;76,6
"Total";1989;77,1
"Total";1990;76,8
"Total";1991;77,1
"Total";1992;77,7
"Total";1993;78
"Total";1994;78,4
"Total";1995;78,2
"Total";1996;78,2
"Total";1997;79
"Total";1998;79
"Total";1999;79,4
"Total";2000;79,6
"Total";2001;80,2
"Total";2002;80,2
"Total";2003;80,3
"Total";2004;80,8
"Total";2005;80,9
"Total";2006;81,5
"Total";2007;81,3
"Total";2008;81,7
"Total";2009;82
"Total";2010;82,4
"Total";2011;82,5
"Total";2012;82,8
"Total";2013;83,1
"Total";2014;83,4
"Total";2015;83,1
"Total";2016;83,4
"Total";2017;83,6
"Total";2018;83,7
"Total";2019;84
"Total";2020;83,2
"Total";2021;83,7
"Total";2022;83,5
"Total";2023;84,4
"Total";2024;84,6
"Mujer";1975;76,1
"Mujer";1976;76,7
"Mujer";1977;77,1
"Mujer";1978;77,5
"Mujer";1979;78
"Mujer";1980;78,4
"Mujer";1981;78,7
"Mujer";1982;79,4
"Mujer";1983;79,1
"Mujer";1984;79,7
"Mujer";1985;79,6
"Mujer";1986;79,6
"Mujer";1987;80,4
"Mujer";1988;80,2
"Mujer";1989;81
"Mujer";1990;80,7
"Mujer";1991;81,4
"Mujer";1992;81,9
"Mujer";1993;82,3
"Mujer";1994;82,5
"Mujer";1995;82,3
"Mujer";1996;82,2
"Mujer";1997;82,9
"Mujer";1998;82,6
"Mujer";1999;83,1
"Mujer";2000;83,3
"Mujer";2001;83,9
"Mujer";2002;83,7
"Mujer";2003;83,7
"Mujer";2004;84,2
"Mujer";2005;84,5
"Mujer";2006;85
"Mujer";2007;84,7
"Mujer";2008;85
"Mujer";2009;85,3
"Mujer";2010;85,5
"Mujer";2011;85,6
"Mujer";2012;85,8
"Mujer";2013;86,3
"Mujer";2014;86,1
"Mujer";2015;85,9
"Mujer";2016;86,3
"Mujer";2017;86,3
"Mujer";2018;86,3
"Mujer";2019;86,8
"Mujer";2020;86
"Mujer";2021;86,4
"Mujer";2022;86,1
"Mujer";2023;87
"Mujer";2024;87,2
"Hombre";1975;69,2
"Hombre";1976;69,5
"Hombre";1977;69,9
"Hombre";1978;70,2
"Hombre";1979;70,7
"Hombre";1980;70,9
"Hombre";1981;71,2
"Hombre";1982;72,1
"Hombre";1983;72,1
"Hombre";1984;72,1
"Hombre";1985;72,4
"Hombre";1986;72,4
"Hombre";1987;72,7
"Hombre";1988;73,1
"Hombre";1989;73,1
"Hombre";1990;73
"Hombre";1991;72,9
"Hombre";1992;73,5
"Hombre";1993;73,9
"Hombre";1994;74,2
"Hombre";1995;74,1
"Hombre";1996;74,2
"Hombre";1997;75,1
"Hombre";1998;75,3
"Hombre";1999;75,7
"Hombre";2000;75,9
"Hombre";2001;76,4
"Hombre";2002;76,6
"Hombre";2003;76,7
"Hombre";2004;77,3
"Hombre";2005;77,2
"Hombre";2006;77,9
"Hombre";2007;77,9
"Hombre";2008;78,4
"Hombre";2009;78,6
"Hombre";2010;79,2
"Hombre";2011;79,2
"Hombre";2012;79,6
"Hombre";2013;79,9
"Hombre";2014;80,4
"Hombre";2015;80,1
"Hombre";2016;80,4
"Hombre";2017;80,6
"Hombre";2018;80,8
"Hombre";2019;81,1
"Hombre";2020;80,3
"Hombre";2021;80,9
"Hombre";2022;80,7
"Hombre";2023;81,7
"Hombre";2024;81,9
