Año;Ámbito territorial;Magnitud;Valor
1975;"C.A. de Euskadi";"Defunciones Totales";14699
1975;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,1
1976;"C.A. de Euskadi";"Defunciones Totales";14615
1976;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7
1977;"C.A. de Euskadi";"Defunciones Totales";14523
1977;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,9
1978;"C.A. de Euskadi";"Defunciones Totales";14235
1978;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,7
1979;"C.A. de Euskadi";"Defunciones Totales";14180
1979;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,7
1980;"C.A. de Euskadi";"Defunciones Totales";14254
1980;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,7
1981;"C.A. de Euskadi";"Defunciones Totales";14628
1981;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,8
1982;"C.A. de Euskadi";"Defunciones Totales";13695
1982;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,4
1983;"C.A. de Euskadi";"Defunciones Totales";14853
1983;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,9
1984;"C.A. de Euskadi";"Defunciones Totales";14809
1984;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";6,9
1985;"C.A. de Euskadi";"Defunciones Totales";15465
1985;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,2
1986;"C.A. de Euskadi";"Defunciones Totales";15094
1986;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,1
1987;"C.A. de Euskadi";"Defunciones Totales";15014
1987;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7
1988;"C.A. de Euskadi";"Defunciones Totales";15680
1988;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,4
1989;"C.A. de Euskadi";"Defunciones Totales";15426
1989;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,3
1990;"C.A. de Euskadi";"Defunciones Totales";16404
1990;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,8
1991;"C.A. de Euskadi";"Defunciones Totales";16766
1991;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8
1992;"C.A. de Euskadi";"Defunciones Totales";16557
1992;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";7,9
1993;"C.A. de Euskadi";"Defunciones Totales";16799
1993;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8
1994;"C.A. de Euskadi";"Defunciones Totales";16757
1994;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8
1995;"C.A. de Euskadi";"Defunciones Totales";17504
1995;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,3
1996;"C.A. de Euskadi";"Defunciones Totales";18031
1996;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,6
1997;"C.A. de Euskadi";"Defunciones Totales";17535
1997;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,4
1998;"C.A. de Euskadi";"Defunciones Totales";18151
1998;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,7
1999;"C.A. de Euskadi";"Defunciones Totales";18396
1999;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,8
2000;"C.A. de Euskadi";"Defunciones Totales";18242
2000;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,8
2001;"C.A. de Euskadi";"Defunciones Totales";18087
2001;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,7
2002;"C.A. de Euskadi";"Defunciones Totales";18619
2002;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,9
2003;"C.A. de Euskadi";"Defunciones Totales";19305
2003;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9,2
2004;"C.A. de Euskadi";"Defunciones Totales";18684
2004;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,9
2005;"C.A. de Euskadi";"Defunciones Totales";19425
2005;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9,2
2006;"C.A. de Euskadi";"Defunciones Totales";18507
2006;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,7
2007;"C.A. de Euskadi";"Defunciones Totales";19252
2007;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9
2008;"C.A. de Euskadi";"Defunciones Totales";19437
2008;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9
2009;"C.A. de Euskadi";"Defunciones Totales";19624
2009;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9,1
2010;"C.A. de Euskadi";"Defunciones Totales";19357
2010;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";8,9
2011;"C.A. de Euskadi";"Defunciones Totales";19832
2011;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9,1
2012;"C.A. de Euskadi";"Defunciones Totales";20281
2012;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9,3
2013;"C.A. de Euskadi";"Defunciones Totales";19692
2013;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";9
