Año;Ocupacion;Sexo;Ámbito territorial;Magnitud;Valor
2018;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";35,8
2022;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";32,3
2021;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";32,3
2017;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";35,6
2015;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";36,7
2012;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";29
2011;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";31,7
2013;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";31,3
2019;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";34,3
2023;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";33,9
2024;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";34,5
2014;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";28,7
2010;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";28,8
2020;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";31,8
2016;"Cargo directivo";"Mujer";"C.A. de Euskadi";"%";34,7
2011;"Cargo directivo";"Mujer";"Araba/Álava";"%";25,8
2016;"Cargo directivo";"Mujer";"Araba/Álava";"%";27,6
2019;"Cargo directivo";"Mujer";"Araba/Álava";"%";28,4
2012;"Cargo directivo";"Mujer";"Araba/Álava";"%";24,8
2023;"Cargo directivo";"Mujer";"Araba/Álava";"%";36,5
2024;"Cargo directivo";"Mujer";"Araba/Álava";"%";37,6
2018;"Cargo directivo";"Mujer";"Araba/Álava";"%";39,4
2015;"Cargo directivo";"Mujer";"Araba/Álava";"%";35,2
2010;"Cargo directivo";"Mujer";"Araba/Álava";"%";28,4
2021;"Cargo directivo";"Mujer";"Araba/Álava";"%";28,8
2020;"Cargo directivo";"Mujer";"Araba/Álava";"%";27
2017;"Cargo directivo";"Mujer";"Araba/Álava";"%";36,2
2013;"Cargo directivo";"Mujer";"Araba/Álava";"%";29,3
2022;"Cargo directivo";"Mujer";"Araba/Álava";"%";31,3
2014;"Cargo directivo";"Mujer";"Araba/Álava";"%";26,5
2013;"Cargo directivo";"Mujer";"Bizkaia";"%";30,6
2023;"Cargo directivo";"Mujer";"Bizkaia";"%";35,7
2020;"Cargo directivo";"Mujer";"Bizkaia";"%";31,5
2018;"Cargo directivo";"Mujer";"Bizkaia";"%";35,5
2015;"Cargo directivo";"Mujer";"Bizkaia";"%";37,1
2022;"Cargo directivo";"Mujer";"Bizkaia";"%";34,5
2021;"Cargo directivo";"Mujer";"Bizkaia";"%";30,2
2024;"Cargo directivo";"Mujer";"Bizkaia";"%";33,6
2012;"Cargo directivo";"Mujer";"Bizkaia";"%";29,4
2014;"Cargo directivo";"Mujer";"Bizkaia";"%";26,8
2019;"Cargo directivo";"Mujer";"Bizkaia";"%";35,3
2016;"Cargo directivo";"Mujer";"Bizkaia";"%";34,7
2011;"Cargo directivo";"Mujer";"Bizkaia";"%";33,2
2010;"Cargo directivo";"Mujer";"Bizkaia";"%";30,4
2017;"Cargo directivo";"Mujer";"Bizkaia";"%";35,5
2012;"Cargo directivo";"Mujer";"Gipuzkoa";"%";30,4
2024;"Cargo directivo";"Mujer";"Gipuzkoa";"%";34,8
2022;"Cargo directivo";"Mujer";"Gipuzkoa";"%";29,8
2016;"Cargo directivo";"Mujer";"Gipuzkoa";"%";38,6
2019;"Cargo directivo";"Mujer";"Gipuzkoa";"%";34,7
2011;"Cargo directivo";"Mujer";"Gipuzkoa";"%";31
2018;"Cargo directivo";"Mujer";"Gipuzkoa";"%";35
2023;"Cargo directivo";"Mujer";"Gipuzkoa";"%";30,3
2014;"Cargo directivo";"Mujer";"Gipuzkoa";"%";32,5
2010;"Cargo directivo";"Mujer";"Gipuzkoa";"%";26,4
2020;"Cargo directivo";"Mujer";"Gipuzkoa";"%";34,3
2021;"Cargo directivo";"Mujer";"Gipuzkoa";"%";37
2017;"Cargo directivo";"Mujer";"Gipuzkoa";"%";35,4
2015;"Cargo directivo";"Mujer";"Gipuzkoa";"%";36,6
2013;"Cargo directivo";"Mujer";"Gipuzkoa";"%";33,3
2014;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";27,2
2023;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";29,5
2019;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";31,4
2020;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";29,8
2012;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";25,7
2017;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";32,3
2011;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";28,1
2018;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";31,9
2024;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";30
2013;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";30,6
2015;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";29,5
2021;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";28,6
2016;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";30,2
2010;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";32,5
2022;"Alta dirección";"Mujer";"C.A. de Euskadi";"%";27,7
2020;"Alta dirección";"Mujer";"Araba/Álava";"%";25,1
2017;"Alta dirección";"Mujer";"Araba/Álava";"%";38,7
2024;"Alta dirección";"Mujer";"Araba/Álava";"%";31,5
2015;"Alta dirección";"Mujer";"Araba/Álava";"%";25,5
2023;"Alta dirección";"Mujer";"Araba/Álava";"%";30,2
2022;"Alta dirección";"Mujer";"Araba/Álava";"%";24,6
2021;"Alta dirección";"Mujer";"Araba/Álava";"%";24,3
2018;"Alta dirección";"Mujer";"Araba/Álava";"%";42,3
2016;"Alta dirección";"Mujer";"Araba/Álava";"%";26
2013;"Alta dirección";"Mujer";"Araba/Álava";"%";20,1
2019;"Alta dirección";"Mujer";"Araba/Álava";"%";23,3
2011;"Alta dirección";"Mujer";"Araba/Álava";"%";29,6
2010;"Alta dirección";"Mujer";"Araba/Álava";"%";34,6
2012;"Alta dirección";"Mujer";"Araba/Álava";"%";11,7
2014;"Alta dirección";"Mujer";"Araba/Álava";"%";19,9
2023;"Alta dirección";"Mujer";"Bizkaia";"%";31,7
2024;"Alta dirección";"Mujer";"Bizkaia";"%";29,9
2021;"Alta dirección";"Mujer";"Bizkaia";"%";29,5
2020;"Alta dirección";"Mujer";"Bizkaia";"%";32,8
