Año;Sexo;Ámbito territorial;Magnitud;Valor
2011;"Todos";"C.A. de Euskadi";"%";10,9
2010;"Todos";"C.A. de Euskadi";"%";10,9
2020;"Todos";"C.A. de Euskadi";"%";8,5
2014;"Todos";"C.A. de Euskadi";"%";9,9
2013;"Todos";"C.A. de Euskadi";"%";13,2
2024;"Todos";"C.A. de Euskadi";"%";6,7
2021;"Todos";"C.A. de Euskadi";"%";7,9
2019;"Todos";"C.A. de Euskadi";"%";8
2023;"Todos";"C.A. de Euskadi";"%";8
2016;"Todos";"C.A. de Euskadi";"%";9,2
2015;"Todos";"C.A. de Euskadi";"%";8,2
2018;"Todos";"C.A. de Euskadi";"%";8,7
2012;"Todos";"C.A. de Euskadi";"%";11,6
2017;"Todos";"C.A. de Euskadi";"%";9,4
2022;"Todos";"C.A. de Euskadi";"%";8,6
2015;"Todos";"Araba/Álava";"%";8,2
2023;"Todos";"Araba/Álava";"%";9,1
2016;"Todos";"Araba/Álava";"%";8,5
2021;"Todos";"Araba/Álava";"%";7,6
2024;"Todos";"Araba/Álava";"%";6,3
2017;"Todos";"Araba/Álava";"%";12
2018;"Todos";"Araba/Álava";"%";8,7
2019;"Todos";"Araba/Álava";"%";9,1
2011;"Todos";"Araba/Álava";"%";12,6
2012;"Todos";"Araba/Álava";"%";13
2014;"Todos";"Araba/Álava";"%";9,4
2020;"Todos";"Araba/Álava";"%";9,5
2013;"Todos";"Araba/Álava";"%";13,6
2010;"Todos";"Araba/Álava";"%";12,7
2022;"Todos";"Araba/Álava";"%";8,6
2015;"Todos";"Bizkaia";"%";8,3
2014;"Todos";"Bizkaia";"%";10,7
2017;"Todos";"Bizkaia";"%";8,6
2010;"Todos";"Bizkaia";"%";11,4
2023;"Todos";"Bizkaia";"%";8,8
2012;"Todos";"Bizkaia";"%";11,2
2022;"Todos";"Bizkaia";"%";10,3
2024;"Todos";"Bizkaia";"%";7,3
2016;"Todos";"Bizkaia";"%";9,6
2021;"Todos";"Bizkaia";"%";8,4
2013;"Todos";"Bizkaia";"%";13,4
2019;"Todos";"Bizkaia";"%";8,5
2018;"Todos";"Bizkaia";"%";9,4
2020;"Todos";"Bizkaia";"%";9,2
2011;"Todos";"Bizkaia";"%";11,2
2018;"Todos";"Gipuzkoa";"%";7,6
2021;"Todos";"Gipuzkoa";"%";7,5
2019;"Todos";"Gipuzkoa";"%";7
2015;"Todos";"Gipuzkoa";"%";8,1
2010;"Todos";"Gipuzkoa";"%";9,3
2011;"Todos";"Gipuzkoa";"%";9,5
2020;"Todos";"Gipuzkoa";"%";7,1
2012;"Todos";"Gipuzkoa";"%";11,4
2014;"Todos";"Gipuzkoa";"%";9
2022;"Todos";"Gipuzkoa";"%";6,1
2016;"Todos";"Gipuzkoa";"%";8,8
2023;"Todos";"Gipuzkoa";"%";6,3
2013;"Todos";"Gipuzkoa";"%";12,8
2024;"Todos";"Gipuzkoa";"%";5,9
2017;"Todos";"Gipuzkoa";"%";9,6
2015;"Mujer";"C.A. de Euskadi";"%";7,9
2013;"Mujer";"C.A. de Euskadi";"%";13
2022;"Mujer";"C.A. de Euskadi";"%";7,9
2016;"Mujer";"C.A. de Euskadi";"%";9,2
2012;"Mujer";"C.A. de Euskadi";"%";11,1
2014;"Mujer";"C.A. de Euskadi";"%";9,3
2018;"Mujer";"C.A. de Euskadi";"%";9,2
2017;"Mujer";"C.A. de Euskadi";"%";9,6
2011;"Mujer";"C.A. de Euskadi";"%";9,7
2024;"Mujer";"C.A. de Euskadi";"%";6,8
2021;"Mujer";"C.A. de Euskadi";"%";7,3
2010;"Mujer";"C.A. de Euskadi";"%";9,6
2023;"Mujer";"C.A. de Euskadi";"%";8,5
2019;"Mujer";"C.A. de Euskadi";"%";8,3
2020;"Mujer";"C.A. de Euskadi";"%";8,5
2024;"Mujer";"Araba/Álava";"%";6,1
2022;"Mujer";"Araba/Álava";"%";7,6
2015;"Mujer";"Araba/Álava";"%";7,6
2020;"Mujer";"Araba/Álava";"%";7,3
2019;"Mujer";"Araba/Álava";"%";6
2017;"Mujer";"Araba/Álava";"%";11,8
2013;"Mujer";"Araba/Álava";"%";13,6
2011;"Mujer";"Araba/Álava";"%";11,1
2023;"Mujer";"Araba/Álava";"%";11,5
2012;"Mujer";"Araba/Álava";"%";12,4
2010;"Mujer";"Araba/Álava";"%";12,2
2014;"Mujer";"Araba/Álava";"%";10,6
2016;"Mujer";"Araba/Álava";"%";9,8
2021;"Mujer";"Araba/Álava";"%";7,2
2018;"Mujer";"Araba/Álava";"%";8,6
2023;"Mujer";"Bizkaia";"%";9,3
2024;"Mujer";"Bizkaia";"%";6,8
2021;"Mujer";"Bizkaia";"%";7,6
2020;"Mujer";"Bizkaia";"%";9,9
2017;"Mujer";"Bizkaia";"%";9,2
2019;"Mujer";"Bizkaia";"%";10,2
2018;"Mujer";"Bizkaia";"%";10,4
2015;"Mujer";"Bizkaia";"%";7,3
2013;"Mujer";"Bizkaia";"%";13
2012;"Mujer";"Bizkaia";"%";10,6
2011;"Mujer";"Bizkaia";"%";9,5
2014;"Mujer";"Bizkaia";"%";9,3
2010;"Mujer";"Bizkaia";"%";10
2022;"Mujer";"Bizkaia";"%";9,2
2016;"Mujer";"Bizkaia";"%";8,5
2023;"Mujer";"Gipuzkoa";"%";6,2
2022;"Mujer";"Gipuzkoa";"%";6,1
2021;"Mujer";"Gipuzkoa";"%";6,9
2020;"Mujer";"Gipuzkoa";"%";6,8
2019;"Mujer";"Gipuzkoa";"%";6,2
2018;"Mujer";"Gipuzkoa";"%";7,7
2017;"Mujer";"Gipuzkoa";"%";9,3
2016;"Mujer";"Gipuzkoa";"%";10,1
2010;"Mujer";"Gipuzkoa";"%";7,9
2015;"Mujer";"Gipuzkoa";"%";9
2014;"Mujer";"Gipuzkoa";"%";8,6
2013;"Mujer";"Gipuzkoa";"%";12,7
2012;"Mujer";"Gipuzkoa";"%";11
2011;"Mujer";"Gipuzkoa";"%";9,5
2024;"Mujer";"Gipuzkoa";"%";7
2012;"Hombre";"C.A. de Euskadi";"%";12
2015;"Hombre";"C.A. de Euskadi";"%";8,5
2022;"Hombre";"C.A. de Euskadi";"%";9,3
2020;"Hombre";"C.A. de Euskadi";"%";8,6
2013;"Hombre";"C.A. de Euskadi";"%";13,4
2021;"Hombre";"C.A. de Euskadi";"%";8,6
2016;"Hombre";"C.A. de Euskadi";"%";9,1
2018;"Hombre";"C.A. de Euskadi";"%";8,2
2019;"Hombre";"C.A. de Euskadi";"%";7,8
2011;"Hombre";"C.A. de Euskadi";"%";11,9
2014;"Hombre";"C.A. de Euskadi";"%";10,5
2023;"Hombre";"C.A. de Euskadi";"%";7,5
2024;"Hombre";"C.A. de Euskadi";"%";6,6
2017;"Hombre";"C.A. de Euskadi";"%";9,3
2010;"Hombre";"C.A. de Euskadi";"%";12,1
2024;"Hombre";"Araba/Álava";"%";6,5
2016;"Hombre";"Araba/Álava";"%";7,3
2019;"Hombre";"Araba/Álava";"%";12
2023;"Hombre";"Araba/Álava";"%";6,8
2022;"Hombre";"Araba/Álava";"%";9,5
2012;"Hombre";"Araba/Álava";"%";13,5
2015;"Hombre";"Araba/Álava";"%";8,7
2021;"Hombre";"Araba/Álava";"%";8,1
2020;"Hombre";"Araba/Álava";"%";11,5
2010;"Hombre";"Araba/Álava";"%";13
2017;"Hombre";"Araba/Álava";"%";12,2
2014;"Hombre";"Araba/Álava";"%";8,2
2018;"Hombre";"Araba/Álava";"%";8,8
2013;"Hombre";"Araba/Álava";"%";13,7
2011;"Hombre";"Araba/Álava";"%";14
2024;"Hombre";"Bizkaia";"%";7,8
2023;"Hombre";"Bizkaia";"%";8,4
2022;"Hombre";"Bizkaia";"%";11,4
2021;"Hombre";"Bizkaia";"%";9,1
2014;"Hombre";"Bizkaia";"%";11,9
2020;"Hombre";"Bizkaia";"%";8,5
2016;"Hombre";"Bizkaia";"%";10,6
2019;"Hombre";"Bizkaia";"%";6,7
2018;"Hombre";"Bizkaia";"%";8,5
2017;"Hombre";"Bizkaia";"%";8,1
2015;"Hombre";"Bizkaia";"%";9,3
2013;"Hombre";"Bizkaia";"%";13,7
2012;"Hombre";"Bizkaia";"%";11,7
2011;"Hombre";"Bizkaia";"%";12,9
2010;"Hombre";"Bizkaia";"%";12,8
2018;"Hombre";"Gipuzkoa";"%";7,6
2017;"Hombre";"Gipuzkoa";"%";10
2016;"Hombre";"Gipuzkoa";"%";7,6
2015;"Hombre";"Gipuzkoa";"%";7,3
2011;"Hombre";"Gipuzkoa";"%";9,4
2014;"Hombre";"Gipuzkoa";"%";9,4
2013;"Hombre";"Gipuzkoa";"%";12,9
2012;"Hombre";"Gipuzkoa";"%";11,8
2010;"Hombre";"Gipuzkoa";"%";10,6
2024;"Hombre";"Gipuzkoa";"%";4,9
2023;"Hombre";"Gipuzkoa";"%";6,4
