Año;Sustancia;Magnitud;Valor;Sexo
2000;"Alcohol";"Tasa de hombres";88,4;"Hombre"
2002;"Alcohol";"Tasa de hombres";86;"Hombre"
2004;"Alcohol";"Tasa de hombres";84,5;"Hombre"
2006;"Alcohol";"Tasa de hombres";89,3;"Hombre"
2008;"Alcohol";"Tasa de hombres";85,8;"Hombre"
2010;"Alcohol";"Tasa de hombres";83,8;"Hombre"
2012;"Alcohol";"Tasa de hombres";80,6;"Hombre"
2000;"Alcohol";"Tasa de mujeres";77,1;"Mujer"
2002;"Alcohol";"Tasa de mujeres";75;"Mujer"
2004;"Alcohol";"Tasa de mujeres";68,1;"Mujer"
2006;"Alcohol";"Tasa de mujeres";77,4;"Mujer"
2008;"Alcohol";"Tasa de mujeres";71,5;"Mujer"
2010;"Alcohol";"Tasa de mujeres";70,4;"Mujer"
2012;"Alcohol";"Tasa de mujeres";66,4;"Mujer"
2000;"Alcohol";"Ratio hombres/mujeres";1,1;"(Ratios, no usar)"
2002;"Alcohol";"Ratio hombres/mujeres";1,1;"(Ratios, no usar)"
2004;"Alcohol";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2006;"Alcohol";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2008;"Alcohol";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2010;"Alcohol";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2012;"Alcohol";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2000;"Alcohol";"% de mujeres consumidoras";46,7;"Mujer"
2002;"Alcohol";"% de mujeres consumidoras";46,7;"Mujer"
2004;"Alcohol";"% de mujeres consumidoras";44,9;"Mujer"
2006;"Alcohol";"% de mujeres consumidoras";46,5;"Mujer"
2008;"Alcohol";"% de mujeres consumidoras";45,6;"Mujer"
2010;"Alcohol";"% de mujeres consumidoras";45,7;"Mujer"
2012;"Alcohol";"% de mujeres consumidoras";45,3;"Mujer"
2008;"Tabaco";"Tasa de hombres";42;"Hombre"
2010;"Tabaco";"Tasa de hombres";39,7;"Hombre"
2012;"Tabaco";"Tasa de hombres";33,3;"Hombre"
2008;"Tabaco";"Tasa de mujeres";34,4;"Mujer"
2010;"Tabaco";"Tasa de mujeres";32,6;"Mujer"
2012;"Tabaco";"Tasa de mujeres";29,1;"Mujer"
2008;"Tabaco";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2010;"Tabaco";"Ratio hombres/mujeres";1,2;"(Ratios, no usar)"
2012;"Tabaco";"Ratio hombres/mujeres";1,1;"(Ratios, no usar)"
2008;"Tabaco";"% de mujeres consumidoras";45,1;"Mujer"
2010;"Tabaco";"% de mujeres consumidoras";45,1;"Mujer"
2012;"Tabaco";"% de mujeres consumidoras";45,3;"Mujer"
1992;"Cannabis";"Tasa de hombres";9,1;"Hombre"
1994;"Cannabis";"Tasa de hombres";8,5;"Hombre"
1996;"Cannabis";"Tasa de hombres";7,4;"Hombre"
2000;"Cannabis";"Tasa de hombres";11,2;"Hombre"
2002;"Cannabis";"Tasa de hombres";15,4;"Hombre"
2004;"Cannabis";"Tasa de hombres";16,7;"Hombre"
2006;"Cannabis";"Tasa de hombres";17,5;"Hombre"
2008;"Cannabis";"Tasa de hombres";16,5;"Hombre"
2010;"Cannabis";"Tasa de hombres";13,5;"Hombre"
2012;"Cannabis";"Tasa de hombres";8,8;"Hombre"
1992;"Cannabis";"Tasa de mujeres";3,9;"Mujer"
1994;"Cannabis";"Tasa de mujeres";2,5;"Mujer"
1996;"Cannabis";"Tasa de mujeres";2,4;"Mujer"
2000;"Cannabis";"Tasa de mujeres";5,6;"Mujer"
2002;"Cannabis";"Tasa de mujeres";9,1;"Mujer"
2004;"Cannabis";"Tasa de mujeres";7,4;"Mujer"
2006;"Cannabis";"Tasa de mujeres";10,4;"Mujer"
2008;"Cannabis";"Tasa de mujeres";7,6;"Mujer"
2010;"Cannabis";"Tasa de mujeres";7,3;"Mujer"
2012;"Cannabis";"Tasa de mujeres";3,7;"Mujer"
1992;"Cannabis";"Ratio hombres/mujeres";2,3;"(Ratios, no usar)"
1994;"Cannabis";"Ratio hombres/mujeres";3,5;"(Ratios, no usar)"
1996;"Cannabis";"Ratio hombres/mujeres";3,1;"(Ratios, no usar)"
2000;"Cannabis";"Ratio hombres/mujeres";2;"(Ratios, no usar)"
2002;"Cannabis";"Ratio hombres/mujeres";1,7;"(Ratios, no usar)"
2004;"Cannabis";"Ratio hombres/mujeres";2,3;"(Ratios, no usar)"
2006;"Cannabis";"Ratio hombres/mujeres";1,7;"(Ratios, no usar)"
2008;"Cannabis";"Ratio hombres/mujeres";2,2;"(Ratios, no usar)"
2010;"Cannabis";"Ratio hombres/mujeres";1,8;"(Ratios, no usar)"
2012;"Cannabis";"Ratio hombres/mujeres";2,4;"(Ratios, no usar)"
1992;"Cannabis";"% de mujeres consumidoras";30,7;"Mujer"
1994;"Cannabis";"% de mujeres consumidoras";22,2;"Mujer"
1996;"Cannabis";"% de mujeres consumidoras";25;"Mujer"
2000;"Cannabis";"% de mujeres consumidoras";33,7;"Mujer"
2002;"Cannabis";"% de mujeres consumidoras";37,3;"Mujer"
2004;"Cannabis";"% de mujeres consumidoras";31;"Mujer"
2006;"Cannabis";"% de mujeres consumidoras";37,3;"Mujer"
2008;"Cannabis";"% de mujeres consumidoras";31,5;"Mujer"
2010;"Cannabis";"% de mujeres consumidoras";35,2;"Mujer"
2012;"Cannabis";"% de mujeres consumidoras";32,9;"Mujer"
1992;"Drogas ilegales";"Tasa de hombres";3,2;"Hombre"
1994;"Drogas ilegales";"Tasa de hombres";2,7;"Hombre"
1996;"Drogas ilegales";"Tasa de hombres";1,9;"Hombre"
2000;"Drogas ilegales";"Tasa de hombres";4,1;"Hombre"
2002;"Drogas ilegales";"Tasa de hombres";4,7;"Hombre"
2004;"Drogas ilegales";"Tasa de hombres";6,4;"Hombre"
2006;"Drogas ilegales";"Tasa de hombres";6,2;"Hombre"
2008;"Drogas ilegales";"Tasa de hombres";6,2;"Hombre"
2010;"Drogas ilegales";"Tasa de hombres";3,3;"Hombre"
2012;"Drogas ilegales";"Tasa de hombres";2,2;"Hombre"
1992;"Drogas ilegales";"Tasa de mujeres";0,8;"Mujer"
1994;"Drogas ilegales";"Tasa de mujeres";0,1;"Mujer"
1996;"Drogas ilegales";"Tasa de mujeres";0,4;"Mujer"
2000;"Drogas ilegales";"Tasa de mujeres";1,7;"Mujer"
2002;"Drogas ilegales";"Tasa de mujeres";2,1;"Mujer"
2004;"Drogas ilegales";"Tasa de mujeres";2,5;"Mujer"
2006;"Drogas ilegales";"Tasa de mujeres";2,6;"Mujer"
2008;"Drogas ilegales";"Tasa de mujeres";1,3;"Mujer"
2010;"Drogas ilegales";"Tasa de mujeres";1,2;"Mujer"
2012;"Drogas ilegales";"Tasa de mujeres";0,4;"Mujer"
1992;"Drogas ilegales";"Ratio hombres/mujeres";3,9;"(Ratios, no usar)"
1994;"Drogas ilegales";"Ratio hombres/mujeres";19,2;"(Ratios, no usar)"
1996;"Drogas ilegales";"Ratio hombres/mujeres";4,5;"(Ratios, no usar)"
2000;"Drogas ilegales";"Ratio hombres/mujeres";2,4;"(Ratios, no usar)"
2002;"Drogas ilegales";"Ratio hombres/mujeres";2,3;"(Ratios, no usar)"
2004;"Drogas ilegales";"Ratio hombres/mujeres";2,6;"(Ratios, no usar)"
2006;"Drogas ilegales";"Ratio hombres/mujeres";2,4;"(Ratios, no usar)"
2008;"Drogas ilegales";"Ratio hombres/mujeres";4,6;"(Ratios, no usar)"
2010;"Drogas ilegales";"Ratio hombres/mujeres";2,7;"(Ratios, no usar)"
2012;"Drogas ilegales";"Ratio hombres/mujeres";5,2;"(Ratios, no usar)"
1992;"Drogas ilegales";"% de mujeres consumidoras";20,6;"Mujer"
1994;"Drogas ilegales";"% de mujeres consumidoras";5,3;"Mujer"
1996;"Drogas ilegales";"% de mujeres consumidoras";20;"Mujer"
2000;"Drogas ilegales";"% de mujeres consumidoras";29,8;"Mujer"
2002;"Drogas ilegales";"% de mujeres consumidoras";30,8;"Mujer"
2004;"Drogas ilegales";"% de mujeres consumidoras";28,1;"Mujer"
2006;"Drogas ilegales";"% de mujeres consumidoras";29,3;"Mujer"
2008;"Drogas ilegales";"% de mujeres consumidoras";18;"Mujer"
2010;"Drogas ilegales";"% de mujeres consumidoras";27;"Mujer"
2012;"Drogas ilegales";"% de mujeres consumidoras";21,1;"Mujer"
2006;"Psicofármacos";"Tasa de hombres";10,8;"Hombre"
2008;"Psicofármacos";"Tasa de hombres";10,3;"Hombre"
2010;"Psicofármacos";"Tasa de hombres";9,2;"Hombre"
2012;"Psicofármacos";"Tasa de hombres";7,3;"Hombre"
2006;"Psicofármacos";"Tasa de mujeres";20,8;"Mujer"
2008;"Psicofármacos";"Tasa de mujeres";19;"Mujer"
2010;"Psicofármacos";"Tasa de mujeres";16;"Mujer"
2012;"Psicofármacos";"Tasa de mujeres";16,6;"Mujer"
2006;"Psicofármacos";"Ratio hombres/mujeres";1,9;"(Ratios, no usar)"
2008;"Psicofármacos";"Ratio hombres/mujeres";1,8;"(Ratios, no usar)"
2010;"Psicofármacos";"Ratio hombres/mujeres";1,7;"(Ratios, no usar)"
2012;"Psicofármacos";"Ratio hombres/mujeres";2,3;"(Ratios, no usar)"
2006;"Psicofármacos";"% de mujeres consumidoras";65,8;"Mujer"
2008;"Psicofármacos";"% de mujeres consumidoras";64,9;"Mujer"
2010;"Psicofármacos";"% de mujeres consumidoras";63,5;"Mujer"
2012;"Psicofármacos";"% de mujeres consumidoras";67,4;"Mujer"
2000;"Alcohol";"Total";82,75;"Total"
2002;"Alcohol";"Total";80,5;"Total"
2004;"Alcohol";"Total";76,3;"Total"
2006;"Alcohol";"Total";83,35;"Total"
2008;"Alcohol";"Total";78,65;"Total"
2010;"Alcohol";"Total";77,1;"Total"
2012;"Alcohol";"Total";73,5;"Total"
2008;"Tabaco";"Total";38,2;"Total"
2010;"Tabaco";"Total";36,150000000000006;"Total"
2012;"Tabaco";"Total";31,2;"Total"
1992;"Cannabis";"Total";6,5;"Total"
1994;"Cannabis";"Total";5,5;"Total"
1996;"Cannabis";"Total";4,9;"Total"
2000;"Cannabis";"Total";8,3999999999999986;"Total"
2002;"Cannabis";"Total";12,25;"Total"
2004;"Cannabis";"Total";12,05;"Total"
2006;"Cannabis";"Total";13,95;"Total"
2008;"Cannabis";"Total";12,05;"Total"
2010;"Cannabis";"Total";10,4;"Total"
2012;"Cannabis";"Total";6,25;"Total"
1992;"Drogas ilegales";"Total";2;"Total"
1994;"Drogas ilegales";"Total";1,4000000000000001;"Total"
1996;"Drogas ilegales";"Total";1,15;"Total"
2000;"Drogas ilegales";"Total";2,9;"Total"
2002;"Drogas ilegales";"Total";3,4000000000000004;"Total"
2004;"Drogas ilegales";"Total";4,45;"Total"
2006;"Drogas ilegales";"Total";4,4;"Total"
2008;"Drogas ilegales";"Total";3,75;"Total"
2010;"Drogas ilegales";"Total";2,25;"Total"
2012;"Drogas ilegales";"Total";1,3;"Total"
2006;"Psicofármacos";"Total";15,8;"Total"
2008;"Psicofármacos";"Total";14,65;"Total"
2010;"Psicofármacos";"Total";12,6;"Total"
2012;"Psicofármacos";"Total";11,95;"Total"
