Año;Ámbito territorial;Tipo de delito;Victimizaciones;Víctimas;Sexo
2021;"Araba/Álava";"Total Delitos VIOGEN";795;649;"Mujer"
2022;"Araba/Álava";"Total Delitos VIOGEN";941;777;"Mujer"
2023;"Araba/Álava";"Total Delitos VIOGEN";1059;841;"Mujer"
2024;"Araba/Álava";"Total Delitos VIOGEN";1174;933;"Mujer"
2025;"Araba/Álava";"Total Delitos VIOGEN";1235;953;"Mujer"
2021;"Araba/Álava";"Pareja/Expareja";571;453;"Mujer"
2022;"Araba/Álava";"Pareja/Expareja";702;549;"Mujer"
2023;"Araba/Álava";"Pareja/Expareja";811;604;"Mujer"
2024;"Araba/Álava";"Pareja/Expareja";878;655;"Mujer"
2025;"Araba/Álava";"Pareja/Expareja";918;656;"Mujer"
2021;"Araba/Álava";"Intrafamiliar (No Pareja/Expareja)";172;145;"Mujer"
2022;"Araba/Álava";"Intrafamiliar (No Pareja/Expareja)";162;154;"Mujer"
2023;"Araba/Álava";"Intrafamiliar (No Pareja/Expareja)";156;145;"Mujer"
2024;"Araba/Álava";"Intrafamiliar (No Pareja/Expareja)";178;164;"Mujer"
2025;"Araba/Álava";"Intrafamiliar (No Pareja/Expareja)";196;179;"Mujer"
2021;"Araba/Álava";"Libertad Sexual";52;51;"Mujer"
2022;"Araba/Álava";"Libertad Sexual";77;74;"Mujer"
2023;"Araba/Álava";"Libertad Sexual";92;92;"Mujer"
2024;"Araba/Álava";"Libertad Sexual";118;114;"Mujer"
2025;"Araba/Álava";"Libertad Sexual";121;118;"Mujer"
2021;"Bizkaia";"Total Delitos VIOGEN";2908;2307;"Mujer"
2022;"Bizkaia";"Total Delitos VIOGEN";3194;2524;"Mujer"
2023;"Bizkaia";"Total Delitos VIOGEN";3505;2758;"Mujer"
2024;"Bizkaia";"Total Delitos VIOGEN";3612;2842;"Mujer"
2025;"Bizkaia";"Total Delitos VIOGEN";3595;2885;"Mujer"
2021;"Bizkaia";"Pareja/Expareja";2114;1581;"Mujer"
2022;"Bizkaia";"Pareja/Expareja";2352;1770;"Mujer"
2023;"Bizkaia";"Pareja/Expareja";2567;1934;"Mujer"
2024;"Bizkaia";"Pareja/Expareja";2595;1935;"Mujer"
2025;"Bizkaia";"Pareja/Expareja";2544;1928;"Mujer"
2021;"Bizkaia";"Intrafamiliar (No Pareja/Expareja)";570;502;"Mujer"
2022;"Bizkaia";"Intrafamiliar (No Pareja/Expareja)";568;483;"Mujer"
2023;"Bizkaia";"Intrafamiliar (No Pareja/Expareja)";613;504;"Mujer"
2024;"Bizkaia";"Intrafamiliar (No Pareja/Expareja)";660;557;"Mujer"
2025;"Bizkaia";"Intrafamiliar (No Pareja/Expareja)";664;573;"Mujer"
2021;"Bizkaia";"Libertad Sexual";224;224;"Mujer"
2022;"Bizkaia";"Libertad Sexual";274;271;"Mujer"
2023;"Bizkaia";"Libertad Sexual";325;320;"Mujer"
2024;"Bizkaia";"Libertad Sexual";357;350;"Mujer"
2025;"Bizkaia";"Libertad Sexual";387;384;"Mujer"
2021;"Gipuzkoa";"Total Delitos VIOGEN";1727;1361;"Mujer"
2022;"Gipuzkoa";"Total Delitos VIOGEN";2008;1569;"Mujer"
2023;"Gipuzkoa";"Total Delitos VIOGEN";2008;1636;"Mujer"
2024;"Gipuzkoa";"Total Delitos VIOGEN";2332;1859;"Mujer"
2025;"Gipuzkoa";"Total Delitos VIOGEN";2289;1797;"Mujer"
2021;"Gipuzkoa";"Pareja/Expareja";1188;898;"Mujer"
2022;"Gipuzkoa";"Pareja/Expareja";1453;1088;"Mujer"
2023;"Gipuzkoa";"Pareja/Expareja";1440;1121;"Mujer"
2024;"Gipuzkoa";"Pareja/Expareja";1648;1235;"Mujer"
2025;"Gipuzkoa";"Pareja/Expareja";1647;1212;"Mujer"
2021;"Gipuzkoa";"Intrafamiliar (No Pareja/Expareja)";364;293;"Mujer"
2022;"Gipuzkoa";"Intrafamiliar (No Pareja/Expareja)";386;315;"Mujer"
2023;"Gipuzkoa";"Intrafamiliar (No Pareja/Expareja)";341;292;"Mujer"
2024;"Gipuzkoa";"Intrafamiliar (No Pareja/Expareja)";393;338;"Mujer"
2025;"Gipuzkoa";"Intrafamiliar (No Pareja/Expareja)";406;356;"Mujer"
2021;"Gipuzkoa";"Libertad Sexual";175;170;"Mujer"
2022;"Gipuzkoa";"Libertad Sexual";169;166;"Mujer"
2023;"Gipuzkoa";"Libertad Sexual";227;223;"Mujer"
2024;"Gipuzkoa";"Libertad Sexual";291;286;"Mujer"
2025;"Gipuzkoa";"Libertad Sexual";236;229;"Mujer"
2021;"C.A. de Euskadi";"Total Delitos VIOGEN";5430;4317;"Mujer"
2022;"C.A. de Euskadi";"Total Delitos VIOGEN";6143;4870;"Mujer"
2023;"C.A. de Euskadi";"Total Delitos VIOGEN";6572;5235;"Mujer"
2024;"C.A. de Euskadi";"Total Delitos VIOGEN";7118;5634;"Mujer"
2025;"C.A. de Euskadi";"Total Delitos VIOGEN";7119;5635;"Mujer"
2021;"C.A. de Euskadi";"Pareja/Expareja";3873;2932;"Mujer"
2022;"C.A. de Euskadi";"Pareja/Expareja";4507;3407;"Mujer"
2023;"C.A. de Euskadi";"Pareja/Expareja";4818;3659;"Mujer"
2024;"C.A. de Euskadi";"Pareja/Expareja";5121;3825;"Mujer"
2025;"C.A. de Euskadi";"Pareja/Expareja";5109;3796;"Mujer"
2021;"C.A. de Euskadi";"Intrafamiliar (No Pareja/Expareja)";1106;940;"Mujer"
2022;"C.A. de Euskadi";"Intrafamiliar (No Pareja/Expareja)";1116;952;"Mujer"
2023;"C.A. de Euskadi";"Intrafamiliar (No Pareja/Expareja)";1110;941;"Mujer"
2024;"C.A. de Euskadi";"Intrafamiliar (No Pareja/Expareja)";1231;1059;"Mujer"
2025;"C.A. de Euskadi";"Intrafamiliar (No Pareja/Expareja)";1266;1108;"Mujer"
2021;"C.A. de Euskadi";"Libertad Sexual";451;445;"Mujer"
2022;"C.A. de Euskadi";"Libertad Sexual";520;511;"Mujer"
2023;"C.A. de Euskadi";"Libertad Sexual";644;635;"Mujer"
2024;"C.A. de Euskadi";"Libertad Sexual";766;750;"Mujer"
2025;"C.A. de Euskadi";"Libertad Sexual";744;731;"Mujer"
