Archivo;Código;Objetivo Num;Objetivo ODS;Año Inicio;Año Fin;Indicador
"1-3-1.csv";"1-3-1";1;"Fin de la Pobreza";2010;2025;"Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre los niños/as, las personas desempleadas, los ancianos/as, las personas con discapacidad, las mujeres embarazadas, los recién nacidos/as, las víctimas de accidentes de trabajo, las personas pobres y las personas vulnerables"
"1-4-1.csv";"1-4-1";1;"Fin de la Pobreza";2010;2023;"Proporción de la población que vive en hogares con acceso a los servicios básicos"
"1-5-1.csv";"1-5-1";1;"Fin de la Pobreza";2010;2024;"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 habitantes"
"1-5-2.csv";"1-5-2";1;"Fin de la Pobreza";2010;2024;"Pérdidas económicas directas atribuidas a los desastres en relación con el producto interno bruto (PIB) mundial"
"1-5-4.csv";"1-5-4";1;"Fin de la Pobreza";2010;2024;"Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales"
"1-a-2.csv";"1-a-2";1;"Fin de la Pobreza";2010;2024;"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)"
"10-4-1.csv";"10-4-1";10;"Reducción de las Desigualdades";2010;2023;"Proporción del PIB generada por el trabajo"
"11-4-1.csv";"11-4-1";11;"Ciudades y comunidades sostenibles";2010;2023;"Total de gastos per cápita destinados a la preservación, protección y conservación de todo el patrimonio cultural y natural"
"11-5-1.csv";"11-5-1";11;"Ciudades y comunidades sostenibles";2010;2024;"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 personas"
"11-5-2.csv";"11-5-2";11;"Ciudades y comunidades sostenibles";2010;2024;"Pérdidas económicas directas atribuidas a los desastres en relación con el producto interno bruto (PIB) mundial"
"11-6-1.csv";"11-6-1";11;"Ciudades y comunidades sostenibles";2010;2024;"Proporción de residuos sólidos municipales recogidos y administrados en instalaciones controladas"
"11-6-2.csv";"11-6-2";11;"Ciudades y comunidades sostenibles";2010;2024;"Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades"
"11-a-1.csv";"11-a-1";11;"Ciudades y comunidades sostenibles";2010;2025;"Número de países que cuentan con políticas urbanas nacionales o planes de desarrollo regionales"
