Archivo,Linea_1,Linea_2
1-1-1.csv,"Year,Units,Value","2008,%,0.1"
1-2-1.csv,"Year,Sexo,Units,Value","2014,,%,18.5"
1-2-2.csv,"Year,Dimensión de la pobreza,Sexo,Units,Value","2024,,,%,20.6"
1-3-1.csv,"Year,Series,Sexo,Territorio histórico,Units,Value","2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,66.0"
1-4-1.csv,"Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value","2016,Proporción de viviendas con agua corriente,,,,%,,99.9"
1-5-1.csv,"Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value","2021,,,,,Por 100.000 habitantes,,0.0"
1-5-2.csv,"Year,Territorio histórico,Units,Value","2022,,%,0.0"
1-5-4.csv,"Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value","2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,33.73"
1-a-1.csv,"Year,Series,Units,Value","2014,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.84"
1-a-2.csv,"Year,Servicios esenciales,Units,Value","2018,,%,70.7"
10-1-1.csv,"Year,Series,Grupo de ingresos,Territorio histórico,Units,Value","2020,Tasa de crecimiento del gasto familiar per cápita,,,%,-1.1"
10-2-1.csv,"Year,Units,Value","2008,%,8.0"
10-3-1.csv,"Year,Sexo,Territorio histórico,Units,Value","2013,,,%,5.6"
10-4-1.csv,"Year,Territorio histórico,Units,Value","2019,,%,47.3"
10-4-2.csv,"Year,Series,Units,Value","2018,Índice de Gini del ingreso disponible equivalente (postfiscal),%,26.7"
10-7-4.csv,"Year,Units,Value","2015,Por 100.000,3.9"
11-1-1.csv,"Year,Series,Units,Value","2022,Proporción de personas que vive en una vivienda con problemas de humedad,%,12.4"
11-3-2.csv,"Year,Units,Value","2015,%,100"
11-4-1.csv,"Year,Administración pública,Units,Value","2021,Administración autonómica y local,Euro per cápita,30.2"
