"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"ámbito teritorial","violencia contra las mujeres","2018","2019","2020","2021","2022","2023","2024","2025"
"C.A. de Euskadi","Total",5315,5518,5276,5430,6143,6572,7118,7119
"C.A. de Euskadi","Violencia ejercida por pareja / expareja",:,4086,3814,3873,4507,4818,5121,5109
"C.A. de Euskadi","Violencia intrafamiliar",:,1008,1115,1106,1116,1110,1231,1266
"C.A. de Euskadi","Violencia sexual en otros tipos de relación(*)",:,424,347,451,520,644,766,744
"Araba/Álava","Total",786,846,763,795,941,1059,1174,1235
"Araba/Álava","Violencia ejercida por pareja / expareja",:,625,557,571,702,811,878,918
"Araba/Álava","Violencia intrafamiliar",:,166,147,172,162,156,178,196
"Araba/Álava","Violencia sexual en otros tipos de relación(*)",:,55,59,52,77,92,118,121
"Bizkaia","Total",2932,2989,2961,2908,3194,3505,3612,3595
"Bizkaia","Violencia ejercida por pareja / expareja",:,2230,2135,2114,2352,2567,2595,2544
"Bizkaia","Violencia intrafamiliar",:,524,654,570,568,613,660,664
"Bizkaia","Violencia sexual en otros tipos de relación(*)",:,235,172,224,274,325,357,387
"Gipuzkoa","Total",1597,1683,1552,1727,2008,2008,2332,2289
"Gipuzkoa","Violencia ejercida por pareja / expareja",:,1231,1122,1188,1453,1440,1648,1647
"Gipuzkoa","Violencia intrafamiliar",:,318,314,364,386,341,393,406
"Gipuzkoa","Violencia sexual en otros tipos de relación(*)",:,134,116,175,169,227,291,236
