"Víctimas de violencia de género en la C.A. de Euskadi por territorio histórico, violencia contra las mujeres y periodo"

"territorio histórico","violencia contra las mujeres","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"C.A. de Euskadi","Total",3507,3829,3897,3974,4091,3999,3774,4020,4244,4419,4177,4317,4870,5235,5634,5635
"C.A. de Euskadi","Violencia ejercida por pareja / expareja",2565,2808,2894,2855,2932,2899,2797,2905,2989,3098,2892,2932,3407,3659,3825,3796
"C.A. de Euskadi","Violencia intrafamiliar",732,787,793,856,859,845,746,804,870,899,947,940,952,941,1059,1108
"C.A. de Euskadi","Violencia sexual en otros tipos de relación(*)",210,234,210,263,300,255,231,311,385,422,338,445,511,635,750,731
"Araba/Álava","Total",518,528,532,583,568,592,584,607,652,704,628,649,777,841,933,953
"Araba/Álava","Violencia ejercida por pareja / expareja",390,406,416,437,403,445,468,463,476,501,448,453,549,604,655,656
"Araba/Álava","Violencia intrafamiliar",93,84,94,111,114,120,90,95,113,148,123,145,154,145,164,179
"Araba/Álava","Violencia sexual en otros tipos de relación(*)",35,38,22,35,51,27,26,49,63,55,57,51,74,92,114,118
"Bizkaia","Total",1914,2165,2199,2249,2297,2183,2061,2201,2310,2372,2311,2307,2524,2758,2842,2885
"Bizkaia","Violencia ejercida por pareja / expareja",1383,1551,1626,1594,1644,1567,1502,1574,1621,1659,1589,1581,1770,1934,1935,1928
"Bizkaia","Violencia intrafamiliar",414,476,464,493,484,474,437,458,500,480,554,502,483,504,557,573
"Bizkaia","Violencia sexual en otros tipos de relación(*)",117,138,109,162,169,142,122,169,189,233,168,224,271,320,350,384
"Gipuzkoa","Total",1075,1136,1166,1142,1226,1224,1129,1212,1282,1343,1238,1361,1569,1636,1859,1797
"Gipuzkoa","Violencia ejercida por pareja / expareja",792,851,852,824,885,887,827,868,892,938,855,898,1088,1121,1235,1212
"Gipuzkoa","Violencia intrafamiliar",225,227,235,252,261,251,219,251,257,271,270,293,315,292,338,356
"Gipuzkoa","Violencia sexual en otros tipos de relación(*)",58,58,79,66,80,86,83,93,133,134,113,170,166,223,286,229
