"Agresores de violencia de género en la C.A. de Euskadi por territorio histórico, edad y periodo"

"territorio histórico","edad","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"C.A. de Euskadi","Total",3897,3658,3970,4166,4361,4103,4217,4738,5104,5504,4691
"C.A. de Euskadi","<14",20,21,13,13,21,11,19,40,39,48,39
"C.A. de Euskadi","14-17",83,79,133,142,135,130,120,115,110,138,119
"C.A. de Euskadi","18-20",175,154,177,172,214,176,190,187,185,242,182
"C.A. de Euskadi","21-30",708,719,838,872,900,799,881,991,1106,1107,972
"C.A. de Euskadi","31-40",1203,1101,1139,1177,1246,1158,1165,1323,1338,1433,1264
"C.A. de Euskadi","41-50",1050,997,971,1091,1080,1046,1066,1192,1305,1375,1119
"C.A. de Euskadi","51-64",432,448,496,470,488,562,552,600,715,813,662
"C.A. de Euskadi",">= 65",125,106,104,123,152,134,131,195,190,205,210
"C.A. de Euskadi","Desconocido",101,33,99,106,125,87,93,95,116,143,124
"Araba/Álava","Total",578,566,607,634,670,635,641,757,816,928,778
"Araba/Álava","<14",1,2,1,2,0,1,3,6,8,8,5
"Araba/Álava","14-17",13,14,16,21,17,18,15,13,15,24,19
"Araba/Álava","18-20",32,29,35,27,33,25,34,26,25,47,25
"Araba/Álava","21-30",125,111,139,129,150,121,133,170,159,185,150
"Araba/Álava","31-40",167,177,170,195,198,191,164,225,210,204,216
"Araba/Álava","41-50",155,155,133,168,163,170,172,191,231,257,190
"Araba/Álava","51-64",53,58,81,65,75,76,89,86,115,133,118
"Araba/Álava",">= 65",19,16,18,18,21,15,22,29,37,41,39
"Araba/Álava","Desconocido",13,4,14,9,13,18,9,11,16,29,16
"Bizkaia","Total",2136,2015,2176,2266,2363,2255,2257,2463,2704,2769,2382
"Bizkaia","<14",10,15,8,10,10,7,9,20,19,21,25
"Bizkaia","14-17",49,39,77,82,85,73,71,70,59,75,63
"Bizkaia","18-20",95,71,81,77,123,104,103,99,94,120,108
"Bizkaia","21-30",359,376,438,471,451,421,456,468,584,541,484
"Bizkaia","31-40",680,620,642,642,674,648,650,705,714,758,623
"Bizkaia","41-50",558,556,544,597,582,558,551,621,704,688,542
"Bizkaia","51-64",243,261,268,253,264,312,294,308,366,400,346
"Bizkaia",">= 65",73,53,60,71,97,87,71,114,105,93,116
"Bizkaia","Desconocido",69,24,58,63,77,45,52,58,59,73,75
"Gipuzkoa","Total",1183,1077,1187,1266,1328,1213,1319,1518,1584,1807,1531
"Gipuzkoa","<14",9,4,4,1,11,3,7,14,12,19,9
"Gipuzkoa","14-17",21,26,40,39,33,39,34,32,36,39,37
"Gipuzkoa","18-20",48,54,61,68,58,47,53,62,66,75,49
"Gipuzkoa","21-30",224,232,261,272,299,257,292,353,363,381,338
"Gipuzkoa","31-40",356,304,327,340,374,319,351,393,414,471,425
"Gipuzkoa","41-50",337,286,294,326,335,318,343,380,370,430,387
"Gipuzkoa","51-64",136,129,147,152,149,174,169,206,234,280,198
"Gipuzkoa",">= 65",33,37,26,34,34,32,38,52,48,71,55
"Gipuzkoa","Desconocido",19,5,27,34,35,24,32,26,41,41,33
