"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total","-Centros","C.A. de Euskadi","Total",153,166,171,184,238,282,290,305,320,345,356,369,389,406,405,430,431,426,432,428,420,429,432,432,445,448,434,432,427,427
"Total","-Centros","C.A. de Euskadi","Público",65,70,68,68,82,87,90,96,97,100,105,107,109,118,122,142,133,140,141,155,152,156,154,155,164,158,146,145,147,147
"Total","-Centros","C.A. de Euskadi","Privado",88,96,103,116,156,195,200,209,223,245,251,262,280,288,283,288,298,286,291,273,268,273,278,277,281,290,288,287,280,280
"Total","-Centros","Araba/Álava","Total",28,31,32,37,54,62,63,63,66,70,69,67,71,75,73,75,82,82,85,82,84,85,87,89,93,98,98,94,94,93
"Total","-Centros","Araba/Álava","Público",16,19,19,20,21,23,24,26,25,25,27,27,27,27,27,27,27,27,28,28,28,28,27,27,27,27,26,26,26,26
"Total","-Centros","Araba/Álava","Privado",12,12,13,17,33,39,39,37,41,45,42,40,44,48,46,48,55,55,57,54,56,57,60,62,66,71,72,68,68,67
"Total","-Centros","Bizkaia","Total",72,79,84,92,122,147,149,160,172,183,191,205,219,227,225,232,234,226,222,219,211,216,219,216,217,226,222,221,217,215
"Total","-Centros","Bizkaia","Público",17,17,18,17,19,19,19,19,19,20,20,21,22,30,32,38,37,38,31,40,40,41,41,42,42,46,46,44,45,44
"Total","-Centros","Bizkaia","Privado",55,62,66,75,103,128,130,141,153,163,171,184,197,197,193,194,197,188,191,179,171,175,178,174,175,180,176,177,172,171
"Total","-Centros","Gipuzkoa","Total",53,56,55,55,62,73,78,82,82,92,96,97,99,104,107,123,115,118,125,127,125,128,126,127,135,124,114,117,116,119
"Total","-Centros","Gipuzkoa","Público",32,34,31,31,42,45,47,51,53,55,58,59,60,61,63,77,69,75,82,87,84,87,86,86,95,85,74,75,76,77
