;;;;;;;;;;;;
Evolución de las tasas de consumo reciente de diversas sustancias en la C.A. de Euskadi. 2012;;;;
;;;;
;
;1992;1994;1996;1998;2000;2002;2004;2006;2008;2010;2012
Alcohol;Tasa de hombres;:;:;:;:;88,4;86;84,5;89,3;85,8;83,8;80,6
;Tasa de mujeres;:;:;:;:;77,1;75;68,1;77,4;71,5;70,4;66,4
;Ratio hombres/mujeres;:;:;:;:;1,1;1,1;1,2;1,2;1,2;1,2;1,2
;% de mujeres consumidoras;:;:;:;:;46,7;46,7;44,9;46,5;45,6;45,7;45,3
Tabaco;Tasa de hombres;:;:;:;:;:;:;:;:;42;39,7;33,3
;Tasa de mujeres;:;:;:;:;:;:;:;:;34,4;32,6;29,1
;Ratio hombres/mujeres;:;:;:;:;:;:;:;:;1,2;1,2;1,1
;% de mujeres consumidoras;:;:;:;:;:;:;:;:;45,1;45,1;45,3
Cannabis;Tasa de hombres;9,1;8,5;7,4;:;11,2;15,4;16,7;17,5;16,5;13,5;8,8
;Tasa de mujeres;3,9;2,5;2,4;:;5,6;9,1;7,4;10,4;7,6;7,3;3,7
;Ratio hombres/mujeres;2,3;3,5;3,1;:;2;1,7;2,3;1,7;2,2;1,8;2,4
;% de mujeres consumidoras;30,7;22,2;25;:;33,7;37,3;31;37,3;31,5;35,2;32,9
Drogas ilegales;Tasa de hombres;3,2;2,7;1,9;:;4,1;4,7;6,4;6,2;6,2;3,3;2,2
;Tasa de mujeres;0,8;0,1;0,4;:;1,7;2,1;2,5;2,6;1,3;1,2;0,4
;Ratio hombres/mujeres;3,9;19,2;4,5;:;2,4;2,3;2,6;2,4;4,6;2,7;5,2
;% de mujeres consumidoras;20,6;5,3;20;:;29,8;30,8;28,1;29,3;18;27;21,1
Psicofármacos;Tasa de hombres;:;:;:;:;:;:;:;10,8;10,3;9,2;7,3
;Tasa de mujeres;:;:;:;:;:;:;:;20,8;19;16;16,6
;Ratio hombres/mujeres;:;:;:;:;:;:;:;1,9;1,8;1,7;2,3
;% de mujeres consumidoras;:;:;:;:;:;:;:;65,8;64,9;63,5;67,4
;;;;
Fuente: Gobierno Vasco. Departamento de Salud. Euskadi y drogas
